Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty Midcap Select,21-02-2023,7029.05,7029.4,6956.95,6963.7,-35.4,-.51,54203517,2218.87,45.43,3.72,.79
Nifty Midcap Select,22-02-2023,6938.6,6954,6852.2,6873.1,-90.6,-1.3,75663397,3203.57,44.84,3.68,.8
Nifty Midcap Select,23-02-2023,6871.9,6879.4,6772.2,6839.8,-33.3,-.48,158142441,3958.98,44.63,3.66,.8
Nifty Midcap Select,24-02-2023,6853,6886.2,6812.9,6822.7,-17.1,-.25,98875079,2945.48,44.51,3.65,.8
Nifty Midcap Select,27-02-2023,6815.75,6817.25,6691.6,6756.95,-65.75,-.96,77424084,2451.01,44.09,3.61,.81
Nifty Midcap Select,28-02-2023,6783.6,6818.95,6771.4,6789.85,32.9,.49,95456768,3637.84,44.3,3.63,.81
Nifty Midcap Select,01-03-2023,6806.65,6880.3,6801.4,6872.7,82.85,1.22,53834183,2280.41,44.84,3.68,.8
Nifty Midcap Select,02-03-2023,6870.2,6892.8,6854.35,6864.35,-8.35,-.12,58542571,2178.88,44.79,3.67,.8
Nifty Midcap Select,03-03-2023,6900.1,6931.35,6880.7,6915.3,50.95,.74,59350844,2200.58,45.12,3.7,.79
Nifty Midcap Select,06-03-2023,6943.55,6988.2,6942.5,6954.35,39.05,.56,63715153,2017.61,45.37,3.72,.79
Nifty Midcap Select,08-03-2023,6933.3,7002.55,6907.55,6996.45,42.1,.61,73595933,3248.43,45.65,3.74,.78
Nifty Midcap Select,09-03-2023,7017.4,7030.9,6926.55,6935.8,-60.65,-.87,46766966,2066.67,45.25,3.71,.79
Nifty Midcap Select,10-03-2023,6895.45,6909.8,6830.7,6904.25,-31.55,-.45,46475950,2024.48,45.05,3.69,.79
Nifty Midcap Select,13-03-2023,6900.05,6914.8,6747.7,6768.55,-167.25,-2.41,58425731,2327.53,44.16,3.62,.76
Nifty Midcap Select,14-03-2023,6770.9,6777,6684.85,6738.65,-29.9,-.44,60904854,2479.32,43.97,3.6,.76
Nifty Midcap Select,15-03-2023,6793.65,6815.25,6707.8,6719.75,-18.9,-.28,61857239,1924.36,43.84,3.59,.76
Nifty Midcap Select,16-03-2023,6715.45,6798.45,6670.15,6780.15,60.4,.9,98911609,2832.91,44.24,3.63,.75
Nifty Midcap Select,17-03-2023,6840.25,6852.3,6780.75,6820.35,40.2,.59,81370330,2987.99,44.5,3.65,.75
Nifty Midcap Select,20-03-2023,6812.8,6836.05,6688.9,6755.05,-65.3,-.96,63513225,2233.68,44.07,3.61,.75
Nifty Midcap Select,21-03-2023,6773.95,6798.05,6748.6,6784.7,29.65,.44,58748782,2117.51,44.27,3.63,.75
Nifty Midcap Select,22-03-2023,6809.95,6829.35,6790.75,6797.85,13.15,.19,47156537,1741.41,44.35,3.64,.75
Nifty Midcap Select,23-03-2023,6783.7,6800.1,6754.65,6763.4,-34.45,-.51,42732074,1834.6,44.13,3.62,.75
Nifty Midcap Select,24-03-2023,6765.7,6768,6662.05,6677.4,-86.0,-1.27,62247327,2102.28,43.57,3.57,.76
Nifty Midcap Select,27-03-2023,6671.45,6705.45,6641.35,6651.9,-25.5,-.38,60585204,2087.11,43.4,3.56,.75
Nifty Midcap Select,28-03-2023,6669.8,6677.25,6595.95,6622.35,-29.55,-.44,49526198,1852.28,43.21,3.54,.75
Nifty Midcap Select,29-03-2023,6613.7,6754.9,6613.45,6739.5,117.15,1.77,71590768,3026.87,43.97,3.6,.74
Nifty Midcap Select,31-03-2023,6772.55,6836.55,6769.6,6816.35,76.85,1.14,108971316,2668.34,31.59,2.79,.85
Nifty Midcap Select,03-04-2023,6850.05,6853.8,6795.8,6817.35,1.0,.01,105011657,2377,31.6,2.79,.85
Nifty Midcap Select,05-04-2023,6821,6821,6761.15,6783.25,-34.1,-.5,112605966,2376.77,31.44,2.77,.86
Nifty Midcap Select,06-04-2023,6784.6,6845.9,6762.7,6839.15,55.9,.82,100158613,2227.51,31.7,2.8,.85
Nifty Midcap Select,10-04-2023,6864.65,6868.35,6825.6,6862.85,23.7,.35,89141756,2486.92,31.81,2.81,.85
Nifty Midcap Select,11-04-2023,6884.7,6909.85,6847.6,6885.8,22.95,.33,103183190,2441.82,31.91,2.81,.85
Nifty Midcap Select,04-12-2023,6897.1,6941.5,6892.8,6936.4,50.6,0.73,96136357,2685.1,32.15,2.88,0.84
Nifty Midcap Select,13-04-2023,6971.5,7004.2,6944.3,6994.95,58.55,.84,135771904,4664.64,32.42,2.9,.83
Nifty Midcap Select,17-04-2023,6973.2,7021.75,6936.2,7014.8,19.85,.28,119943290,3397.66,32.51,2.91,.83
Nifty Midcap Select,18-04-2023,7033.35,7091.9,7022.4,7082.6,67.8,.97,136441952,3141.52,32.83,2.94,.82
Nifty Midcap Select,19-04-2023,7101.1,7122.4,7069.3,7083.6,1.0,.01,104077865,2843.22,32.83,2.94,.82
Nifty Midcap Select,20-04-2023,7105.95,7120.35,7086.1,7100.4,16.8,.24,104934761,2555.16,32.91,2.94,.82
Nifty Midcap Select,21-04-2023,7111.4,7112.05,7037.75,7065.75,-34.65,-.49,84250592,2379.44,32.75,2.93,.82
Nifty Midcap Select,24-04-2023,7074.85,7121.65,7064.65,7116.15,50.4,.71,106717328,2291.91,32.98,2.95,.82
Nifty Midcap Select,25-04-2023,7126.05,7174.85,7116.65,7152.55,36.4,.51,121755652,2737.07,33.15,2.97,.81
Nifty Midcap Select,26-04-2023,7137.1,7169.65,7108.35,7163.35,10.8,.15,101629891,2694.13,33.2,2.97,.81
Nifty Midcap Select,27-04-2023,7160.45,7200.45,7160,7180.3,16.95,.24,109147485,2891.17,33.09,2.98,.81
Nifty Midcap Select,28-04-2023,7172.55,7239.5,7143.65,7232.55,52.25,.73,210766610,4660.9,33.46,3.01,.81
Nifty Midcap Select,02-05-2023,7275.3,7342.45,7262.6,7327.7,95.15,1.32,204688785,3646.22,33.4,3.05,.8
Nifty Midcap Select,03-05-2023,7318.2,7365.7,7303.7,7339.55,11.85,.16,126739049,3543.3,32.99,3.05,.79
Nifty Midcap Select,04-05-2023,7360.4,7391.5,7350.65,7384.35,44.8,.61,111472747,2682.32,33.19,3.07,.79
Nifty Midcap Select,05-05-2023,7400.05,7430.55,7315.25,7323.4,-60.95,-.83,168516551,4009.85,32.58,3.05,.8
Nifty Midcap Select,08-05-2023,7351.85,7442.65,7346.3,7435.15,111.75,1.53,171240789,3522.63,33.02,3.09,.78
Nifty Midcap Select,09-05-2023,7458.9,7501.55,7423.3,7438.4,3.25,.04,157265625,2961.82,32.42,3.1,.78
Nifty Midcap Select,10-05-2023,7465.75,7470.25,7393.6,7449.6,11.2,.15,159450369,2658.67,32.47,3.1,.78
Nifty Midcap Select,11-05-2023,7474.55,7488.55,7449.95,7463.5,13.9,.19,127028512,2536.36,32.53,3.11,.78
Nifty Midcap Select,12-05-2023,7464.05,7470.35,7416.45,7432.6,-30.9,-.41,110130303,2486.52,32.4,3.09,.78
Nifty Midcap Select,15-05-2023,7439.95,7504.5,7419.05,7489.45,56.85,.76,131306367,2884.39,32.64,3.12,.78
Nifty Midcap Select,16-05-2023,7526.65,7582.85,7511.6,7527.05,37.6,.5,147767561,4430.73,31.45,3.13,.77
Nifty Midcap Select,17-05-2023,7528.45,7548.7,7458.15,7534.6,7.55,.1,135790951,3646.73,31.44,3.14,.77
Nifty Midcap Select,18-05-2023,7560.4,7560.8,7466.7,7476.55,-58.05,-.77,116184904,2961.35,31.9,3.11,.78
Nifty Midcap Select,19-05-2023,7488.15,7493.15,7400.55,7479.65,3.1,.04,119622944,3007.06,31.99,3.11,.78
Nifty Midcap Select,22-05-2023,7472.45,7547.4,7449.65,7542.1,62.45,.83,125349903,2640.69,32.24,3.14,.77
Nifty Midcap Select,23-05-2023,7559.85,7618.85,7555.95,7606.85,64.75,.86,102104555,2949.95,32.69,3.17,.76
Nifty Midcap Select,24-05-2023,7606,7625.95,7562.85,7593.0,-13.85,-.18,122539852,3559.32,32.63,3.16,.76
Nifty Midcap Select,25-05-2023,7584.85,7665.65,7577.45,7657.85,64.85,.85,138831894,3494.75,32.91,3.19,.77
Nifty Midcap Select,26-05-2023,7666.25,7745.4,7660.65,7740.45,82.6,1.08,113530739,3010.16,33.13,3.22,.76
Nifty Midcap Select,29-05-2023,7764.8,7768.45,7719.55,7759.6,19.15,.25,111331096,3024.14,32.61,3.23,.76
Nifty Midcap Select,30-05-2023,7766.75,7800.2,7746.35,7778.0,18.4,.24,111790784,2901.25,32.84,3.24,.75
Nifty Midcap Select,31-05-2023,7768.85,7813.5,7756.65,7804.7,26.7,.34,144487549,4799.13,32.95,3.25,.75
Nifty Midcap Select,01-06-2023,7810.3,7862.85,7802.6,7819.25,14.55,.19,118577980,2760.15,33.01,3.25,.75
Nifty Midcap Select,02-06-2023,7848.95,7878.55,7845.85,7872.5,53.25,.68,98208129,2983.59,33.24,3.28,.74
Nifty Midcap Select,05-06-2023,7898.05,7910.4,7850.8,7855.45,-17.05,-.22,96828149,2484.27,33.16,3.27,.75
Nifty Midcap Select,06-06-2023,7859.15,7868.25,7806.5,7858.4,2.95,.04,84904444,2785.59,33.18,3.27,.72
Nifty Midcap Select,07-06-2023,7884.4,7927.5,7868.35,7921.7,63.3,.81,83159999,2591.85,33.44,3.3,.72
Nifty Midcap Select,08-06-2023,7933.65,7944.2,7836.05,7844.85,-76.85,-.97,117409635,3023.74,33.12,3.26,.72
Nifty Midcap Select,09-06-2023,7865.1,7884.35,7823.75,7832.25,-12.6,-.16,74478276,2264.74,33.07,3.25,.74
Nifty Midcap Select,12-06-2023,7851.9,7900.15,7822.85,7890.6,58.35,.74,74012231,2362.14,33.31,3.28,.73
Nifty Midcap Select,13-06-2023,7915.45,8002.95,7912.6,7997.3,106.7,1.35,120225412,3552,33.76,3.32,.72
Nifty Midcap Select,14-06-2023,8013.7,8019.55,7991.55,8002.0,4.7,.06,126555340,3422.33,33.78,3.32,.72
Nifty Midcap Select,15-06-2023,8012.8,8046.75,7984,7998.6,-3.4,-.04,171798915,3746.28,33.77,3.32,.72
Nifty Midcap Select,16-06-2023,8021.85,8085.25,8002.2,8071.85,73.25,.92,247190284,4314.66,34.08,3.35,.81
