Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
NIFTY100 Enhanced ESG,21-12-2022,-,-,-,3498.19,-23.52,-.67,220475274,17876.46,25.36,5.35,1.46
NIFTY100 Enhanced ESG,22-12-2022,-,-,-,3484.0,-14.19,-.41,239342141,17753.1,25.26,5.33,1.42
NIFTY100 Enhanced ESG,23-12-2022,-,-,-,3410.06,-73.94,-2.12,280345124,20025.09,24.72,5.22,1.45
NIFTY100 Enhanced ESG,26-12-2022,-,-,-,3449.22,39.16,1.15,198722527,14821.05,25,5.28,1.44
NIFTY100 Enhanced ESG,27-12-2022,-,-,-,3473.81,24.59,.71,224388065,13720.18,25.18,5.32,1.43
NIFTY100 Enhanced ESG,28-12-2022,-,-,-,3471.92,-1.89,-.05,206384026,14764.53,25.17,5.31,1.43
NIFTY100 Enhanced ESG,29-12-2022,-,-,-,3478.79,6.87,.2,276137372,20152.16,25.22,5.32,1.42
NIFTY100 Enhanced ESG,30-12-2022,-,-,-,3468.12,-10.67,-.31,264661668,16702.02,27.04,5.4,1.28
NIFTY100 Enhanced ESG,02-01-2023,-,-,-,3472.29,4.17,.12,315124278,13532.05,27.07,5.41,1.28
NIFTY100 Enhanced ESG,03-01-2023,-,-,-,3490.75,18.46,.53,286424228,16161.99,27.22,5.44,1.27
NIFTY100 Enhanced ESG,04-01-2023,-,-,-,3458.93,-31.82,-.91,322255607,19860.72,26.97,5.39,1.29
NIFTY100 Enhanced ESG,05-01-2023,-,-,-,3455.72,-3.21,-.09,324241789,24662.92,26.94,5.39,1.29
NIFTY100 Enhanced ESG,06-01-2023,-,-,-,3421.4,-34.32,-.99,307013921,19935.31,26.67,5.33,1.3
NIFTY100 Enhanced ESG,09-01-2023,-,-,-,3465.25,43.85,1.28,332248892,22212.83,27.02,5.4,1.28
NIFTY100 Enhanced ESG,10-01-2023,-,-,-,3441.71,-23.54,-.68,367174988,21893.6,26.83,5.36,1.29
