Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,14-02-2019,10786.1,10792.7,10718.75,10746.05,-47.6,-.44,627041405,20797.41,26.58,3.35,1.26
Nifty Next 50,14-02-2019,25767.9,25977.95,25758.4,25945.7,118.75,.46,192491625,3335.83,40.65,3.66,.94
Nifty 100,14-02-2019,10914.1,10922.55,10856.9,10888.4,-35.5,-.32,822641878,24158.81,27.8,3.38,1.22
Nifty 200,14-02-2019,5603.5,5612.25,5577.3,5596.55,-12.4,-.22,1302939253,30207.57,28.57,3.23,1.21
Nifty 500,14-02-2019,8878.85,8891.9,8837.75,8869.3,-18.6,-.21,1824006382,33558.85,29.29,3.1,1.18
Nifty Midcap 50,14-02-2019,4468.45,4514.85,4450.65,4507.0,30.35,.68,391170486,4397.02,41.36,1.96,1.39
NIFTY Midcap 100,14-02-2019,16248.05,16388.9,16164.6,16372.25,98.7,.61,480297375,6048.77,36.62,2.38,1.12
NIFTY Smallcap 100,14-02-2019,5744.15,5800.8,5707.25,5793.95,37.8,.66,446755239,2547.54,33.1,1.53,.97
Nifty50 Dividend Points,14-02-2019,-,-,-,127.28,0.0,-,-,-,-,-,-
Nifty Auto,14-02-2019,8178.1,8268.35,8166.7,8223.35,45.8,.56,80697005,2312.7,23.01,3.93,1.19
Nifty Bank,14-02-2019,26978,27030,26818.05,26970.6,85.2,.32,374943572,8959.41,54.31,3.1,.47
Nifty Energy,14-02-2019,14526.4,14530.1,14261.3,14335.1,-241.05,-1.65,163887754,3287.6,14.73,1.85,1.91
Nifty Financial Services,14-02-2019,11363.85,11365.25,11267.85,11304.75,-64.55,-.57,103789220,4902.33,40.18,3.63,.71
Nifty FMCG,14-02-2019,29423.8,29597.3,29399.95,29451.45,12.95,.04,21880290,1342.33,42.04,10.66,1.17
Nifty IT,14-02-2019,15992.45,16002.2,15828.85,15861.65,-180.0,-1.12,25024087,1390.32,22.51,5.43,1.35
Nifty Media,14-02-2019,2266.1,2360.55,2234.5,2338.1,88.0,3.91,61914230,951.11,25.2,3.48,.65
Nifty Metal,14-02-2019,2727,2741.6,2678,2733.65,-8.05,-.29,124843281,1695.38,10.8,1.17,4.66
Nifty MNC,14-02-2019,12837.35,12883.55,12788.4,12861.65,5.35,.04,69141805,2136.93,28.05,4.22,1.97
Nifty Pharma,14-02-2019,8835.5,8944.65,8809.7,8920.9,81.15,.92,19213640,1266.99,50.64,3.78,.64
Nifty PSU Bank,14-02-2019,2739,2754.3,2709.7,2748.8,8.0,.29,96394212,1350.36,,.96,.01
Nifty Realty,14-02-2019,221.8,223.8,220.85,223.1,1.05,.47,34433497,126.38,79.49,1.32,.61
Nifty India Consumption,14-02-2019,4730.8,4737.95,4715.65,4725.95,-6.15,-.13,81964005,3975.43,46.05,5.6,1.06
Nifty Commodities,14-02-2019,3129.6,3131.05,3082.4,3120.5,-23.05,-.73,287145630,4933.38,13.41,1.44,3.17
Nifty Dividend Opportunities 50,14-02-2019,2518.5,2522.25,2501.7,2508.35,-18.4,-.73,419019244,7882.83,15.48,2.58,3
Nifty Infrastructure,14-02-2019,2804.5,2824.05,2777.9,2818.0,9.6,.34,488668300,3903.62,33.2,1.87,1.7
Nifty PSE,14-02-2019,3031.1,3036.9,2965.9,3007.55,-36.8,-1.21,280149337,3471.85,9.58,1.3,4.83
Nifty Services Sector,14-02-2019,14992.4,15003.35,14922.3,14942.45,-47.55,-.32,492814621,13999.09,32.59,3.53,1
Nifty50 Shariah,14-02-2019,-,-,-,2345.8,-24.4,-1.03,108646705,3504.68,17.84,2.53,1.88
Nifty500 Shariah,14-02-2019,-,-,-,2792.56,-14.92,-.53,319447993,7544.04,22.2,3.17,1.34
Nifty Low Volatility 50,14-02-2019,-,-,-,9590.75,-42.62,-.44,198951290,9406.82,23.29,3.53,1.42
Nifty Alpha 50,14-02-2019,11643.55,11705.05,11597.15,11692.6,28.7,.25,59560965,6036.98,24.71,6.64,.76
Nifty High Beta 50,14-02-2019,-,-,-,1465.17,38.35,2.69,692874649,12151.25,49.42,1,1.63
Nifty100 Equal Weight,14-02-2019,12279,12351.75,12247.95,12336.5,46.35,.38,822641878,24158.81,26.76,2.72,1.46
Nifty100 Liquid 15,14-02-2019,3507.2,3570.9,3507.2,3562.8,72.7,2.08,399962706,9758.59,20.27,1.64,1.98
Nifty CPSE,14-02-2019,1878.55,1879.4,1825.4,1861.7,-24.5,-1.3,168217306,1929.55,8.35,1.15,6.07
Nifty50 Value 20,14-02-2019,5273.95,5291.25,5243.35,5251.75,-27.95,-.53,447441947,11011.12,16.9,2.84,2.27
Nifty Midcap Liquid 15,14-02-2019,3744.45,3809.6,3738.6,3800.25,41.2,1.1,122777255,1936.03,19.74,1.96,1.43
Nifty Shariah 25,14-02-2019,-,-,-,4048.48,-26.59,-.65,82115078,3388.93,22.23,3.21,1.52
India VIX,14-02-2019,15.73,16.5775,12.09,15.77,0.04,.27,-,-,-,-,-
Nifty Growth Sectors 15,14-02-2019,6100.05,6135.6,6096.15,6114.45,16.75,.27,43971326,3209.19,32.65,6.19,1.19
Nifty50 TR 1x Inverse,14-02-2019,372.95,375.25,372.95,374.3,1.65,.44,-,-,-,-,-
Nifty50 TR 2x Leverage,14-02-2019,5631.45,5631.45,5561.2,5589.6,-49.4,-.88,-,-,-,-,-
Nifty50 PR 1x Inverse,14-02-2019,420.2,422.8,420.2,421.75,1.95,.46,-,-,-,-,-
Nifty50 PR 2x Leverage,14-02-2019,4433.85,4433.85,4378.55,4400.9,-39.9,-.9,-,-,-,-,-
NIFTY100 Quality 30,14-02-2019,2591.05,2609.45,2591.05,2602.75,16.55,.64,339776884,10679.2,28.39,6.6,1.32
Nifty Tata Group,14-02-2019,-,-,-,6496.56,-38.67,-.59,40930657,1380.41,26.46,5.09,1.1
Nifty Tata Group 25% Cap,14-02-2019,-,-,-,4443.36,8.61,.19,40062984,1336.71,25.35,2.59,.94
Nifty Private Bank,14-02-2019,15339.2,15417.45,15254.9,15386.4,129.05,.85,327310457,8023.7,38.81,3.43,.52
Nifty Smallcap 250,14-02-2019,4765.45,4779.7,4731.7,4775.25,-2.55,-.05,514520078,3126.91,41.6,1.73,1.01
Nifty Smallcap 50,14-02-2019,2756.75,2802.6,2740.1,2795.35,32.85,1.19,416129050,1962.64,55.09,1.28,1.08
Nifty MidSmallcap 400,14-02-2019,5463.1,5490.4,5433,5485.5,14.15,.26,1001364504,9400.04,37.38,2.33,1.02
Nifty Midcap 150,14-02-2019,5843.3,5877.9,5814.55,5872.7,23.4,.4,486844426,6273.13,35.73,2.76,1.03
Nifty Aditya Birla Group,14-02-2019,-,-,-,3023.01,4.48,.15,33024802,391.52,,1.61,.37
Nifty 50 Futures Index,14-02-2019,-,-,-,3798.93,-15.37,-.4,-,-,-,-,-
Nifty 50 Futures TR Index,14-02-2019,-,-,-,10784.1,-41.58,-.38,-,-,-,-,-
Nifty 50 Arbitrage,14-02-2019,-,-,-,1773.58,-0.21,-.01,-,-,-,-,-
NIFTY50 Equal Weight,14-02-2019,11634.45,11683.35,11589.05,11661.5,32.7,.28,627041405,20797.41,20.35,2.6,1.78
Nifty100 Low Volatility 30,14-02-2019,8465.8,8466.65,8409.4,8422.5,-63.4,-.75,138986753,6805.88,24.84,3.99,1.42
NIFTY Alpha Low-Volatility 30,14-02-2019,-,-,-,11209.54,-70.1,-.62,112365868,6996.31,28.16,4.58,1.08
NIFTY Quality Low-Volatility 30,14-02-2019,-,-,-,8114.56,-32.85,-.4,68329478,5218.09,28.91,6.72,1.29
NIFTY Alpha Quality Low-Volatility 30,14-02-2019,-,-,-,9294.64,-52.82,-.57,73807126,5815.33,29.86,6.81,1.21
NIFTY Alpha Quality Value Low-Volatility 30,14-02-2019,-,-,-,7050.58,-45.1,-.64,88085527,5274,24.34,4.62,1.56
NIFTY LargeMidcap 250,14-02-2019,-,-,-,5492.35,1.77,.03,1309486304,30431.93,31.75,3.05,1.12
NIFTY SME EMERGE,14-02-2019,-,-,-,1463.0,-5.36,-.36,-,-,16.04,2.02,.31
NIFTY100 ESG,14-02-2019,-,-,-,2030.28,-1.84,-.09,705517282,21717.19,28.03,3.6,1.03
NIFTY100 Enhanced ESG,14-02-2019,-,-,-,2065.63,-3.24,-.16,674519497,20395.93,27,3.57,1.06
NIFTY200 Quality 30,14-02-2019,9500.3,9513.85,9450.15,9459.55,-55.85,-.59,59096884,4334.18,30.98,7.91,1.45
NIFTY500 Value 50,14-02-2019,-,-,-,3800.74,-2.29,-.06,484631760,5163.22,12.54,.9,4.47
Nifty Mahindra Group,14-02-2019,-,-,-,11118.32,-32.61,-.29,7542555,482.52,18.57,3.16,1.12
Nifty 8-13 yr G-Sec,14-02-2019,1834.14,1834.14,1828.27,1828.61,-5.16,-.28,-,-,-,-,-
Nifty 4-8 yr G-Sec Index,14-02-2019,1959.63,1959.98,1957.28,1958.17,-1.05,-.05,-,-,-,-,-
Nifty 11-15 yr G-Sec Index,14-02-2019,1915.68,1915.68,1912.13,1912.94,-2.36,-.12,-,-,-,-,-
Nifty 15 yr and above G-Sec Index,14-02-2019,2060.01,2062.24,2057.6,2058.44,-1.15,-.06,-,-,-,-,-
Nifty Composite G-sec Index,14-02-2019,1872.34,1872.67,1868.21,1868.95,-3.02,-.16,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec,14-02-2019,1699.36,1699.36,1694.28,1694.63,-4.39,-.26,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec (Clean Price),14-02-2019,910.8,910.8,908.06,908.25,-2.56,-.28,-,-,-,-,-
Nifty 1D Rate Index,14-02-2019,-,-,-,1773.43,0.3,.02,-,-,-,-,-
Nifty50 USD,14-02-2019,-,-,-,5237.27,-44.13,-.84,-,-,-,-,-
