Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,12-07-2019,11601.15,11639.55,11538.6,11552.5,-30.4,-.26,359421182,16947.57,28.33,3.61,1.29
Nifty Next 50,12-07-2019,26977.75,27139.65,26933.25,26983.65,51.55,.19,159945697,3785.58,45.42,4,.98
Nifty 100,12-07-2019,11697.1,11738.85,11641.45,11654.85,-23.75,-.2,522356896,20756.19,29.77,3.65,1.25
Nifty 200,12-07-2019,5993.5,6018.1,5970,5976.4,-7.85,-.13,1044756082,27734.68,29.81,3.44,1.26
Nifty 500,12-07-2019,9480.05,9519.75,9448.4,9457.75,-8.65,-.09,1190248591,30000.09,30.21,3.31,1.23
Nifty Midcap 50,12-07-2019,4714.6,4763.3,4706.85,4738.6,30.55,.65,387601469,5545.41,29.63,1.97,1.59
NIFTY Midcap 100,12-07-2019,17087.25,17234.65,17069.65,17146.25,79.2,.46,522399186,6978.5,30.07,2.34,1.31
NIFTY Smallcap 100,12-07-2019,6065.95,6102.6,6055.6,6076.5,20.05,.33,81880107,1563.05,35.34,1.73,1.15
Nifty50 Dividend Points,12-07-2019,-,-,-,49.11,0.0,-,-,-,-,-,-
Nifty Auto,12-07-2019,7641.8,7719,7603.75,7653.65,2.7,.04,58668910,2023.94,21.22,3.52,1.42
Nifty Bank,12-07-2019,30789.75,30870.95,30548.3,30601.45,-115.1,-.37,156245254,5095.02,66.2,3.27,.33
Nifty Energy,12-07-2019,15575.05,15649.15,15370.55,15432.55,-115.1,-.74,126146353,2466.18,12.74,1.69,2.73
Nifty Financial Services,12-07-2019,13443.4,13473.05,13345.25,13365.95,-39.0,-.29,208781250,7145.4,48.41,4.27,.55
Nifty FMCG,12-07-2019,29269.05,29406.7,29157,29252.0,-41.65,-.14,21635959,1128.03,42.78,10.79,1.18
Nifty IT,12-07-2019,15227.6,15293.35,15186.1,15227.4,13.15,.09,24358006,1667.36,21.84,5.15,2.06
Nifty Media,12-07-2019,2062.8,2082.05,2052.6,2066.1,8.95,.44,78525760,626.59,39.31,2.49,.83
Nifty Metal,12-07-2019,2811,2859.55,2785.4,2826.3,21.05,.75,95026826,1703.46,9.48,1.21,4.55
Nifty MNC,12-07-2019,12606.65,12708.3,12577.85,12652.6,45.35,.36,38729852,1488.66,27.07,4.11,1.94
