SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
AXISNIFTY,EQ,968,968,830.3,852.48,832.1,967.86,211,181307.78,10-JUL-2017,16,INF846K01ZL0
AXISNIFTY,EQ,1007.9,1011,1007.45,1010.16,1010.92,1005.65,938,947070.9,01-AUG-2017,21,INF846K01ZL0,
AXISNIFTY,EQ,1009.33,1010,1007.51,1007.89,1007.89,1010.16,1156,1165659.4,02-AUG-2017,18,INF846K01ZL0,
AXISNIFTY,EQ,1003.2,1003.86,1000.2,1000.2,1000.2,1007.89,179,179601.58,03-AUG-2017,6,INF846K01ZL0,
AXISNIFTY,EQ,1000.91,1007,998.9,1007,1007,1000.2,1166,1170123.17,04-AUG-2017,12,INF846K01ZL0,
AXISNIFTY,EQ,1006.9,1007,1005.37,1005.37,1005.37,1007,335,337216.45,07-AUG-2017,6,INF846K01ZL0,
AXISNIFTY,EQ,1003.95,1003.95,994.23,996.07,996.07,1005.37,255,254229.64,08-AUG-2017,7,INF846K01ZL0,
AXISNIFTY,EQ,996,996.8,990,990,990,996.07,33,32740.8,09-AUG-2017,5,INF846K01ZL0,
AXISNIFTY,EQ,984.16,986.83,977.44,981.17,981.17,990,707,694953.41,10-AUG-2017,13,INF846K01ZL0,
AXISNIFTY,EQ,971.64,976.29,970.4,975.44,975.44,981.17,121,117901.85,11-AUG-2017,12,INF846K01ZL0,
AXISNIFTY,EQ,975,980.52,975,980.52,980.52,975.44,209,204156.92,14-AUG-2017,7,INF846K01ZL0,
AXISNIFTY,EQ,981.21,989.32,978.17,988.21,988.1,980.52,150,146868.66,16-AUG-2017,7,INF846K01ZL0,
AXISNIFTY,EQ,990.07,1001.67,990,1001.02,1001.02,988.21,1577,1570459.12,17-AUG-2017,9,INF846K01ZL0,
AXISNIFTY,EQ,986.98,989.85,982.95,988.24,988.24,1001.02,41,40368.81,18-AUG-2017,4,INF846K01ZL0,
AXISNIFTY,EQ,988,988,982.09,982.09,982.09,988.24,57,56085.81,21-AUG-2017,7,INF846K01ZL0,
AXISNIFTY,EQ,987.9,987.9,977.46,977.46,977.46,982.09,71,69486.43,22-AUG-2017,10,INF846K01ZL0,
AXISNIFTY,EQ,980.45,992.84,979.26,983.17,983.06,977.46,414,406433.31,23-AUG-2017,10,INF846K01ZL0,
AXISNIFTY,EQ,985.57,986.57,984.26,986.57,986.57,983.17,197,194024.57,24-AUG-2017,5,INF846K01ZL0,
AXISNIFTY,EQ,990.33,990.33,989.85,990.2,990.2,986.57,62,61391.45,28-AUG-2017,6,INF846K01ZL0,
AXISNIFTY,EQ,984.97,990,978.96,978.96,978.96,990.2,53,52062.71,29-AUG-2017,5,INF846K01ZL0,
AXISNIFTY,EQ,987.5,990.3,987.4,988.6,988.42,978.96,50,49423.08,30-AUG-2017,17,INF846K01ZL0,
AXISNIFTY,EQ,996.88,996.88,996.22,996.22,996.22,988.6,100,99655,31-AUG-2017,2,INF846K01ZL0,
AXISNIFTY,EQ,994.15,997.51,994.15,996.89,996.44,996.22,938,934732.02,01-SEP-2017,17,INF846K01ZL0,
AXISNIFTY,EQ,999.19,999.19,987.82,987.82,987.82,996.89,507,502727.54,04-SEP-2017,14,INF846K01ZL0,
AXISNIFTY,EQ,992.96,995.6,991.29,995,995,987.82,104,103230.9,05-SEP-2017,8,INF846K01ZL0,
AXISNIFTY,EQ,989.03,993.94,988.79,990.22,990.22,995,120,118804.48,06-SEP-2017,6,INF846K01ZL0,
AXISNIFTY,EQ,991.53,995.53,991.25,992.17,992.02,990.22,517,513161.31,07-SEP-2017,12,INF846K01ZL0,
AXISNIFTY,EQ,994.47,994.47,992.17,993.18,994.45,992.17,633,628139.15,08-SEP-2017,6,INF846K01ZL0,
AXISNIFTY,EQ,997.27,1001.96,997.27,999.96,999.96,993.18,477,476633.16,11-SEP-2017,16,INF846K01ZL0,
AXISNIFTY,EQ,1002.46,1007.38,1002.23,1007.38,1007.38,999.96,269,270365.4,12-SEP-2017,15,INF846K01ZL0,
AXISNIFTY,EQ,1009.83,1015,1006.5,1007.62,1007.71,1007.38,417,421348.41,13-SEP-2017,29,INF846K01ZL0,
AXISNIFTY,EQ,1011.04,1011.04,1006.86,1007.3,1007.3,1007.62,118,119047.03,14-SEP-2017,9,INF846K01ZL0,
AXISNIFTY,EQ,1005.27,1008.6,1004.25,1008.6,1008.6,1007.3,407,409281.32,15-SEP-2017,13,INF846K01ZL0,
AXISNIFTY,EQ,1010,1024.25,1010,1015.16,1014.6,1008.6,1251,1269880.04,18-SEP-2017,34,INF846K01ZL0,
AXISNIFTY,EQ,1021.83,1021.83,1013.45,1014,1014,1015.16,54,54780.91,19-SEP-2017,8,INF846K01ZL0,
AXISNIFTY,EQ,1015.12,1016,1013.34,1013.4,1013.34,1014,269,272729.23,20-SEP-2017,20,INF846K01ZL0,
AXISNIFTY,EQ,980,1012.55,980,1011.35,1011.35,1013.4,237,238699.05,21-SEP-2017,11,INF846K01ZL0,
AXISNIFTY,EQ,1000,1006.16,997.71,997.71,997.71,1011.35,60,59987.41,22-SEP-2017,5,INF846K01ZL0,
AXISNIFTY,EQ,988,999,982.97,987.01,986.89,997.71,93,91551.29,25-SEP-2017,12,INF846K01ZL0,
AXISNIFTY,EQ,993.95,993.95,983.59,988,988,987.01,17,16760.29,26-SEP-2017,6,INF846K01ZL0,
AXISNIFTY,EQ,988,989.45,973.45,978.31,973.45,988,74,72745.71,27-SEP-2017,13,INF846K01ZL0,
AXISNIFTY,EQ,973,981.86,973,974.13,974.13,978.31,284,276477.72,28-SEP-2017,5,INF846K01ZL0,
AXISNIFTY,EQ,989.95,989.95,977.65,977.65,977.65,974.13,103,101439.33,29-SEP-2017,9,INF846K01ZL0,
AXISNIFTY,EQ,991.52,991.52,983.41,985.21,985.21,977.65,27,26595.29,03-OCT-2017,3,INF846K01ZL0,
AXISNIFTY,EQ,985.25,998.76,985.25,990.61,990.61,985.21,82,81258.17,04-OCT-2017,8,INF846K01ZL0,
AXISNIFTY,EQ,999.81,999.81,990,996.58,996.59,990.61,25,24836.15,05-OCT-2017,5,INF846K01ZL0,
AXISNIFTY,EQ,995,1002.6,993.84,995.99,996,996.58,123,122381.79,06-OCT-2017,14,INF846K01ZL0,
AXISNIFTY,EQ,998.77,1000,996.97,997.68,997.58,995.99,154,153739.3,09-OCT-2017,13,INF846K01ZL0,
AXISNIFTY,EQ,959,1035.5,959,1001.5,1001.5,997.68,96,95962.29,10-OCT-2017,14,INF846K01ZL0,
AXISNIFTY,EQ,1004.99,1004.99,996.39,996.53,996.79,1001.5,56,56164.79,11-OCT-2017,6,INF846K01ZL0,
AXISNIFTY,EQ,997.6,1009,997.59,1009,1009,996.53,365,365611.49,12-OCT-2017,8,INF846K01ZL0,
AXISNIFTY,EQ,1009,1017.56,1009,1017.02,1015.69,1009,430,436699.99,13-OCT-2017,15,INF846K01ZL0,
AXISNIFTY,EQ,1025,1025,1018.16,1022.92,1025,1017.02,150,153197.19,16-OCT-2017,17,INF846K01ZL0,
AXISNIFTY,EQ,1025,1026,1020.87,1025.26,1026,1022.92,157,160650.69,17-OCT-2017,17,INF846K01ZL0,
AXISNIFTY,EQ,959,1029,932,1021.26,1021.26,1025.26,442,434715.11,18-OCT-2017,20,INF846K01ZL0,
AXISNIFTY,EQ,1017,1020,1014.53,1014.53,1014.53,1017.4,250,254216.64,23-OCT-2017,12,INF846K01ZL0,
AXISNIFTY,EQ,1020.69,1028.86,1020.11,1020.11,1020.11,1014.53,684,698286.56,24-OCT-2017,14,INF846K01ZL0,
AXISNIFTY,EQ,1028.45,1032.48,1024.36,1028.82,1028.67,1020.11,523,537218.02,25-OCT-2017,27,INF846K01ZL0,
AXISNIFTY,EQ,1027.68,1032.8,1027.68,1032.8,1032.8,1028.82,152,156458.96,26-OCT-2017,10,INF846K01ZL0,
AXISNIFTY,EQ,1041.81,1041.81,1031.41,1031.41,1031.41,1032.8,234,241888.38,27-OCT-2017,14,INF846K01ZL0,
AXISNIFTY,EQ,1037.22,1037.22,1035.48,1036.49,1035.48,1031.41,434,449882.51,30-OCT-2017,12,INF846K01ZL0,
AXISNIFTY,EQ,1036.06,1042.99,1036.05,1040.99,1040.99,1036.49,108,111912.25,31-OCT-2017,4,INF846K01ZL0,
AXISNIFTY,EQ,1028,1044.95,998.7,1043.93,1044.08,1040.99,505,526580.29,01-NOV-2017,27,INF846K01ZL0,
AXISNIFTY,EQ,1045.13,1048,1041.78,1042.93,1042.38,1043.93,194,202329.47,02-NOV-2017,12,INF846K01ZL0,
AXISNIFTY,EQ,1045.26,1046.99,1045.1,1046.82,1046.82,1042.93,619,647284.84,03-NOV-2017,12,INF846K01ZL0,
AXISNIFTY,EQ,1044.81,1050,1043.49,1043.56,1044.1,1046.82,418,438351.19,06-NOV-2017,12,INF846K01ZL0,
AXISNIFTY,EQ,1052.7,1052.7,1038.61,1040,1038.61,1043.56,69,72121.16,07-NOV-2017,11,INF846K01ZL0,
AXISNIFTY,EQ,1036.71,1042,1031.94,1031.94,1031.94,1040,33,34215.96,08-NOV-2017,5,INF846K01ZL0,
AXISNIFTY,EQ,1031.48,1034.52,1031.31,1033.62,1032.73,1031.94,66,68082.85,09-NOV-2017,5,INF846K01ZL0,
AXISNIFTY,EQ,1034.26,1034.26,1033.63,1033.65,1033.83,1033.62,706,729765.05,10-NOV-2017,4,INF846K01ZL0,
AXISNIFTY,EQ,1029,1031,1023.55,1023.55,1023.55,1033.65,788,810414.47,13-NOV-2017,23,INF846K01ZL0,
AXISNIFTY,EQ,1030.37,1030.38,1019.02,1019.02,1019.02,1023.55,245,250474.91,14-NOV-2017,16,INF846K01ZL0,
AXISNIFTY,EQ,1026.17,1026.17,1011.22,1012.92,1013.18,1019.02,146,149137.63,15-NOV-2017,17,INF846K01ZL0,
AXISNIFTY,EQ,1027.75,1028.1,1020.39,1023.41,1023.41,1012.92,118,121222.91,16-NOV-2017,5,INF846K01ZL0,
AXISNIFTY,EQ,1032.53,1033.49,1031.45,1032,1032,1023.41,203,209483.57,17-NOV-2017,16,INF846K01ZL0,
AXISNIFTY,EQ,1034,1038.79,1028.13,1038.4,1038.4,1032,133,137988.08,20-NOV-2017,10,INF846K01ZL0,
AXISNIFTY,EQ,1041.3,1043.57,1035.24,1035.24,1035.24,1038.4,422,439148.72,21-NOV-2017,10,INF846K01ZL0,
AXISNIFTY,EQ,1036.5,1036.5,1032.66,1034.89,1034.89,1035.24,48,49632.9,22-NOV-2017,7,INF846K01ZL0,
AXISNIFTY,EQ,1034.35,1036.35,1033.76,1036.35,1036.35,1034.89,55,56937.45,23-NOV-2017,5,INF846K01ZL0,
AXISNIFTY,EQ,1039.57,1046.8,1038.86,1040.05,1039.9,1036.35,228,237382.5,24-NOV-2017,17,INF846K01ZL0,
AXISNIFTY,EQ,1045.01,1045.26,1036.42,1045.26,1045.26,1040.05,33,34396.68,27-NOV-2017,8,INF846K01ZL0,
AXISNIFTY,EQ,1045.25,1047.22,1038.03,1045.84,1045.84,1045.26,255,265321.2,28-NOV-2017,38,INF846K01ZL0,
AXISNIFTY,EQ,1037.91,1039,1037.56,1037.56,1037.56,1045.84,51,52955.96,29-NOV-2017,4,INF846K01ZL0,
AXISNIFTY,EQ,1039.3,1039.3,1023.36,1023.36,1023.36,1037.56,41,42185.35,30-NOV-2017,6,INF846K01ZL0,
AXISNIFTY,EQ,1034.02,1034.02,1011.51,1012.29,1012.68,1023.36,69,70900.44,01-DEC-2017,10,INF846K01ZL0,
AXISNIFTY,EQ,1021.74,1021.74,1015.92,1015.92,1015.92,1012.29,43,43838.6,04-DEC-2017,4,INF846K01ZL0,
AXISNIFTY,EQ,1016.69,1019.9,1015,1019.9,1019.9,1015.92,21,21373.73,05-DEC-2017,5,INF846K01ZL0,
AXISNIFTY,EQ,1015,1015,1006.1,1013.19,1013.19,1019.9,221,223382.1,06-DEC-2017,7,INF846K01ZL0,
AXISNIFTY,EQ,1011.91,1011.91,1011.69,1011.69,1011.69,1013.19,10,10118,07-DEC-2017,2,INF846K01ZL0,
AXISNIFTY,EQ,1030,1033.88,1025.42,1027.46,1027.46,1011.69,155,159075.24,08-DEC-2017,10,INF846K01ZL0,
AXISNIFTY,EQ,1040.65,1040.65,1030,1030,1030,1027.46,116,119685.2,11-DEC-2017,7,INF846K01ZL0,
AXISNIFTY,EQ,1028.68,1028.68,1028.68,1028.68,1028.68,1030,53,54520.04,12-DEC-2017,1,INF846K01ZL0,
AXISNIFTY,EQ,1030.6,1030.6,1030.6,1030.6,1030.6,1028.68,5,5153,13-DEC-2017,1,INF846K01ZL0,
AXISNIFTY,EQ,1030,1030,1017.01,1027.62,1027.62,1030.6,27,27598.75,14-DEC-2017,4,INF846K01ZL0,
AXISNIFTY,EQ,1035.96,1042.72,1034.79,1034.79,1034.79,1027.62,44,45587.47,15-DEC-2017,5,INF846K01ZL0,
AXISNIFTY,EQ,1039.19,1044.49,1038.84,1038.84,1038.84,1034.79,1232,1284441.55,18-DEC-2017,9,INF846K01ZL0,
AXISNIFTY,EQ,1049.7,1049.7,1042.07,1045,1045,1038.84,136,141885.26,19-DEC-2017,9,INF846K01ZL0,
AXISNIFTY,EQ,1050,1050,1045.47,1045.68,1045.68,1045,121,126777.29,20-DEC-2017,6,INF846K01ZL0,
AXISNIFTY,EQ,1045.04,1045.69,1043.46,1043.46,1043.46,1045.68,75,78346.6,21-DEC-2017,6,INF846K01ZL0,
AXISNIFTY,EQ,1043,1050,1043,1049.58,1050,1043.46,663,695581.56,22-DEC-2017,23,INF846K01ZL0,
AXISNIFTY,EQ,1052,1054.15,1049.9,1053.7,1054.15,1049.58,55,57903.96,26-DEC-2017,8,INF846K01ZL0,
AXISNIFTY,EQ,1053.11,1055,1048.12,1048.74,1048.12,1053.7,53,55869.57,27-DEC-2017,9,INF846K01ZL0,
AXISNIFTY,EQ,1051.03,1051.03,1046.91,1046.91,1046.91,1048.74,249,261399,28-DEC-2017,7,INF846K01ZL0,
AXISNIFTY,EQ,1058,1058,1051.27,1053.65,1053.65,1046.91,82,86371.12,29-DEC-2017,11,INF846K01ZL0,
AXISNIFTY,EQ,1053.45,1053.5,1045,1045,1045,1053.65,19,19988.59,01-JAN-2018,5,INF846K01ZL0,
AXISNIFTY,EQ,1053.2,1053.2,1044.16,1052.84,1052.84,1045,24,25209.58,02-JAN-2018,7,INF846K01ZL0,
AXISNIFTY,EQ,1050,1050,1050,1050,1050,1052.84,1,1050,03-JAN-2018,1,INF846K01ZL0,
AXISNIFTY,EQ,1046.69,1050,1046.69,1049.49,1049.49,1050,20,20980.9,04-JAN-2018,3,INF846K01ZL0,
AXISNIFTY,EQ,1055.53,1056.61,1055,1056.61,1056.61,1049.49,19,20055.65,05-JAN-2018,6,INF846K01ZL0,
AXISNIFTY,EQ,1060,1063,1060,1062.66,1063,1056.61,615,652805.97,08-JAN-2018,10,INF846K01ZL0,
AXISNIFTY,EQ,1066,1067.95,1062.63,1063.36,1063.36,1062.66,46,49016.63,09-JAN-2018,9,INF846K01ZL0,
AXISNIFTY,EQ,1064.26,1064.26,1061.76,1062.94,1062.94,1063.36,128,135931.85,10-JAN-2018,6,INF846K01ZL0,
AXISNIFTY,EQ,1066,1069.46,1062.85,1066.63,1065.82,1062.94,115,122305.47,11-JAN-2018,13,INF846K01ZL0,
AXISNIFTY,EQ,1066,1070,1066,1070,1070,1066.63,83,88647.4,12-JAN-2018,7,INF846K01ZL0,
AXISNIFTY,EQ,1078.65,1078.65,1077.47,1077.8,1077.8,1070,32,34486.5,15-JAN-2018,4,INF846K01ZL0,
AXISNIFTY,EQ,1077,1077,1077,1077,1077,1077.8,5,5385,16-JAN-2018,1,INF846K01ZL0,
AXISNIFTY,EQ,1068.8,1075.35,1065.8,1075.35,1075.35,1077,104,111339.27,17-JAN-2018,8,INF846K01ZL0,
AXISNIFTY,EQ,1080,1088.51,1080,1080.61,1080.61,1075.35,209,227319.7,18-JAN-2018,11,INF846K01ZL0,
AXISNIFTY,EQ,1082.02,1091.12,1082.02,1090.09,1091.12,1080.61,210,228373.76,19-JAN-2018,14,INF846K01ZL0,
AXISNIFTY,EQ,1087.25,1091.12,1087.25,1091.12,1091.12,1090.09,154,167557.46,22-JAN-2018,5,INF846K01ZL0,
AXISNIFTY,EQ,1101,1109.99,1101,1109.35,1109.1,1091.12,238,263425.26,23-JAN-2018,20,INF846K01ZL0,
AXISNIFTY,EQ,1106,1112.5,1106,1112.5,1112.5,1109.35,229,254118.53,24-JAN-2018,17,INF846K01ZL0,
AXISNIFTY,EQ,1107,1113,1105.84,1108.26,1107.9,1112.5,199,220447.69,25-JAN-2018,10,INF846K01ZL0,
AXISNIFTY,EQ,1107.92,1122.49,1107.92,1114.32,1113.21,1108.26,174,194154.34,29-JAN-2018,12,INF846K01ZL0,
AXISNIFTY,EQ,1107.01,1115.6,1105.77,1105.77,1105.77,1114.32,52,57613.45,30-JAN-2018,9,INF846K01ZL0,
AXISNIFTY,EQ,1103.9,1103.9,1102.38,1102.71,1102.71,1105.77,184,202956.23,31-JAN-2018,4,INF846K01ZL0,
AXISNIFTY,EQ,1106,1118.9,1103,1118.9,1118.9,1102.71,35,38891.95,01-FEB-2018,8,INF846K01ZL0,
AXISNIFTY,EQ,1100.87,1100.87,1081.7,1083.16,1081.7,1118.9,138,150428.04,02-FEB-2018,10,INF846K01ZL0,
AXISNIFTY,EQ,1062.18,1076.35,1062.18,1074.35,1074.35,1083.16,212,226790.11,05-FEB-2018,8,INF846K01ZL0,
AXISNIFTY,EQ,1080.7,1080.7,1032.12,1048.14,1048.14,1074.35,90,95499.68,06-FEB-2018,7,INF846K01ZL0,
AXISNIFTY,EQ,1050.62,1051,1050.62,1051,1051,1048.14,13,13661.1,07-FEB-2018,2,INF846K01ZL0,
AXISNIFTY,EQ,1059,1068.7,1059,1068.7,1068.7,1051,20,21277,08-FEB-2018,2,INF846K01ZL0,
AXISNIFTY,EQ,1050.68,1051,1050.68,1051,1051,1068.7,4,4203.3,09-FEB-2018,3,INF846K01ZL0,
AXISNIFTY,EQ,1059.99,1061.06,1051.9,1061.06,1061.06,1051,17,17944.28,12-FEB-2018,3,INF846K01ZL0,
AXISNIFTY,EQ,1064.06,1064.06,1047.05,1047.05,1047.05,1061.06,11,11607.11,14-FEB-2018,5,INF846K01ZL0,
AXISNIFTY,EQ,1059.86,1066.73,1051.86,1055.46,1055.46,1047.05,110,115854.31,16-FEB-2018,10,INF846K01ZL0,
AXISNIFTY,EQ,1042.75,1042.86,1036.92,1037.64,1038,1055.46,125,130287.47,19-FEB-2018,7,INF846K01ZL0,
AXISNIFTY,EQ,1042.71,1042.71,1042.71,1042.71,1042.71,1037.64,10,10427.1,20-FEB-2018,1,INF846K01ZL0,
AXISNIFTY,EQ,1037.14,1039.2,1037.14,1039.2,1039.2,1042.71,25,25959.4,21-FEB-2018,2,INF846K01ZL0,
AXISNIFTY,EQ,1037.04,1037.04,1037.04,1037.04,1037.04,1039.2,8,8296.32,22-FEB-2018,1,INF846K01ZL0,
AXISNIFTY,EQ,1052.48,1057.54,1045.27,1057.54,1057.54,1037.04,29,30514.89,23-FEB-2018,5,INF846K01ZL0,
AXISNIFTY,EQ,1066.31,1066.31,1066.31,1066.31,1066.31,1057.54,4,4265.24,26-FEB-2018,1,INF846K01ZL0,
AXISNIFTY,EQ,1065.33,1065.33,1065.33,1065.33,1065.33,1066.31,20,21306.6,27-FEB-2018,1,INF846K01ZL0,
AXISNIFTY,EQ,1049.57,1061.54,1049.56,1061.54,1061.54,1065.33,87,91515.28,28-FEB-2018,8,INF846K01ZL0,
AXISNIFTY,EQ,1057.99,1057.99,1049.87,1049.87,1049.87,1061.54,44,46285.9,01-MAR-2018,6,INF846K01ZL0,
AXISNIFTY,EQ,1045.74,1045.77,1035.87,1044.47,1044.47,1049.87,15,15586.16,05-MAR-2018,4,INF846K01ZL0,
AXISNIFTY,EQ,1052,1052,1024.97,1025.28,1024.97,1044.47,107,111401.87,06-MAR-2018,10,INF846K01ZL0,
AXISNIFTY,EQ,1032.45,1032.45,1018.19,1019.32,1018.19,1025.28,28,28664.44,07-MAR-2018,6,INF846K01ZL0,
AXISNIFTY,EQ,1023.17,1023.17,1023.17,1023.17,1023.17,1019.32,5,5115.85,08-MAR-2018,1,INF846K01ZL0,
AXISNIFTY,EQ,1036.7,1036.7,1036.6,1036.6,1036.6,1023.17,3,3110,09-MAR-2018,2,INF846K01ZL0,
AXISNIFTY,EQ,1034.35,1042.31,1034.13,1042,1042,1036.6,88,91222.15,12-MAR-2018,8,INF846K01ZL0,
AXISNIFTY,EQ,1050,1050,1046.59,1046.59,1046.59,1042,5,5243.74,13-MAR-2018,3,INF846K01ZL0,
AXISNIFTY,EQ,1044.96,1045.1,1040,1042.15,1042.15,1046.59,162,168538.8,14-MAR-2018,6,INF846K01ZL0,
AXISNIFTY,EQ,1041.15,1042.88,1040.84,1040.84,1040.84,1042.15,107,111584.39,15-MAR-2018,3,INF846K01ZL0,
AXISNIFTY,EQ,1039.19,1039.19,1032.2,1032.2,1032.2,1040.84,11,11361.19,16-MAR-2018,2,INF846K01ZL0,
AXISNIFTY,EQ,1019.3,1020.48,1018,1020.48,1020.48,1032.2,92,93758.06,19-MAR-2018,11,INF846K01ZL0,
AXISNIFTY,EQ,1016.28,1023.08,1016.28,1022.49,1022.49,1020.48,69,70419.05,20-MAR-2018,8,INF846K01ZL0,
AXISNIFTY,EQ,1025.6,1026.9,1022.9,1022.9,1022.9,1022.49,9,9227.61,21-MAR-2018,4,INF846K01ZL0,
AXISNIFTY,EQ,1018.19,1018.19,1018.19,1018.19,1018.19,1022.9,10,10181.9,22-MAR-2018,1,INF846K01ZL0,
AXISNIFTY,EQ,1006.29,1006.29,1002.7,1006.29,1006.29,1018.19,112,112327.27,23-MAR-2018,7,INF846K01ZL0,
AXISNIFTY,EQ,1005.98,1022.15,1001.15,1022.01,1022.15,1006.29,30,30122.53,26-MAR-2018,6,INF846K01ZL0,
AXISNIFTY,EQ,1023.57,1023.57,1022,1022,1022.18,1022.01,158,161484.37,27-MAR-2018,4,INF846K01ZL0,
AXISNIFTY,EQ,1019.3,1019.3,1019,1019,1019,1022,6,6114.3,28-MAR-2018,2,INF846K01ZL0,
AXISNIFTY,EQ,1023.12,1025.03,1023.12,1025.03,1025.03,1019,10,10242.75,02-APR-2018,4,INF846K01ZL0,
AXISNIFTY,EQ,1028.69,1030.72,1028.68,1029,1029,1025.03,28,28820.69,04-APR-2018,5,INF846K01ZL0,
AXISNIFTY,EQ,1031.14,1031.14,1031.14,1031.14,1031.14,1029,26,26809.64,05-APR-2018,1,INF846K01ZL0,
AXISNIFTY,EQ,1042.29,1042.29,1035.14,1041,1041,1031.14,16,16598.7,06-APR-2018,4,INF846K01ZL0,
AXISNIFTY,EQ,1049,1050.78,1040.75,1040.75,1040.75,1041,85,89148.39,09-APR-2018,6,INF846K01ZL0,
AXISNIFTY,EQ,1044.73,1044.73,1043.68,1043.68,1043.68,1040.75,39,40740.99,10-APR-2018,3,INF846K01ZL0,
AXISNIFTY,EQ,1047.8,1053.42,1042.63,1053.42,1053.42,1043.68,9,9425.93,11-APR-2018,4,INF846K01ZL0,
AXISNIFTY,EQ,1046.39,1046.39,1046.39,1046.39,1046.39,1053.42,7,7324.73,12-APR-2018,2,INF846K01ZL0,
AXISNIFTY,EQ,1061.54,1061.59,1050.97,1055.98,1051.76,1046.39,9,9511.24,13-APR-2018,7,INF846K01ZL0,
AXISNIFTY,EQ,1059.23,1060.93,1049.53,1055.53,1055.53,1055.98,232,244714.01,16-APR-2018,11,INF846K01ZL0,
AXISNIFTY,EQ,1055.97,1058.64,1054.51,1058.64,1058.64,1055.53,205,216371.65,17-APR-2018,20,INF846K01ZL0,
AXISNIFTY,EQ,1066.51,1066.51,1057.6,1066.47,1066.47,1058.64,212,224228.98,20-APR-2018,3,INF846K01ZL0,
AXISNIFTY,EQ,1064.68,1065.29,1064.68,1065.29,1065.29,1066.47,25,26626.15,23-APR-2018,2,INF846K01ZL0,
AXISNIFTY,EQ,1062.61,1062.61,1062.61,1062.61,1062.61,1065.29,52,55255.72,24-APR-2018,1,INF846K01ZL0,
AXISNIFTY,EQ,1069.96,1071.12,1061.94,1061.94,1061.94,1062.61,14,14945.14,25-APR-2018,3,INF846K01ZL0,
AXISNIFTY,EQ,1063,1063,1063,1063,1063,1061.94,10,10630,26-APR-2018,1,INF846K01ZL0,
AXISNIFTY,EQ,1082.47,1082.47,1072.56,1072.82,1072.82,1063,21,22534.97,27-APR-2018,4,INF846K01ZL0,
AXISNIFTY,EQ,1073,1090.37,1073,1090.37,1090.37,1072.82,20,21633.7,30-APR-2018,2,INF846K01ZL0,
AXISNIFTY,EQ,1089.01,1089.37,1075.8,1075.84,1075.84,1090.37,111,119513.26,02-MAY-2018,6,INF846K01ZL0,
AXISNIFTY,EQ,1070.85,1075,1069.87,1073.64,1073.64,1075.84,17,18206.49,03-MAY-2018,4,INF846K01ZL0,
AXISNIFTY,EQ,1076.66,1076.66,1067.71,1067.71,1067.71,1073.64,20,21364.95,04-MAY-2018,3,INF846K01ZL0,
AXISNIFTY,EQ,1070.74,1073.19,1070.74,1073.19,1073.19,1067.71,61,65370.02,07-MAY-2018,3,INF846K01ZL0,
AXISNIFTY,EQ,1082.94,1082.94,1082.94,1082.94,1082.94,1073.19,10,10829.4,08-MAY-2018,1,INF846K01ZL0,
