Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,06-10-2023,19621.2,19675.75,19589.4,19653.5,107.75,.55,159051277,16096.52,22.23,3.45,1.37
Nifty Next 50,06-10-2023,44886.4,44987.05,44780.2,44950.4,280.75,.63,230503103,6445.86,24.67,3.63,1.46
Nifty 100,06-10-2023,19554.4,19606.05,19524.7,19584.45,108.4,.56,390795777,22594.33,22.71,3.5,1.36
Nifty 200,06-10-2023,10487,10514.9,10470.5,10503.75,58.75,.56,958034409,32522.61,23.02,3.46,1.3
Nifty 500,06-10-2023,17263.35,17310.1,17237.1,17293.6,97.8,.57,2240980304,46813.82,23.45,3.48,1.27
Nifty Midcap 50,06-10-2023,11505.4,11548.5,11474.6,11543.7,89.8,.78,256705766,4960.95,21.86,3.12,1.17
NIFTY Midcap 100,06-10-2023,40207,40319.35,40123.85,40284.7,238.7,.6,567238632,9928.29,24.95,3.22,.96
NIFTY Smallcap 100,06-10-2023,12772.8,12849.65,12731.5,12837.1,101.85,.8,751814345,7907.08,26.32,3.16,1.1
Nifty50 Dividend Points,06-10-2023,-,-,-,148.23,0.0,-,-,-,-,-,-
Nifty Auto,06-10-2023,16025.2,16039.8,15966.4,15990.65,74.55,.47,21802558,1875.86,25.31,4.55,1.06
Nifty Bank,06-10-2023,44395.4,44500.7,44242.95,44360.6,147.25,.33,157546711,5072.44,16.31,2.58,.84
Nifty Energy,06-10-2023,26768.8,26805.45,26664.3,26731.65,43.4,.16,48711457,1598.6,11.02,1.74,2.81
Nifty Financial Services,06-10-2023,19759.85,19856.75,19714.75,19818.2,139.6,.71,84295901,8456.85,18.46,3.09,.83
Nifty FMCG,06-10-2023,51488.95,51725.4,51359.15,51577.9,193.35,.38,17048367,1457.37,42.62,10.77,1.86
Nifty IT,06-10-2023,32251.45,32438.4,32098.8,32341.7,216.3,.67,13964599,2357.03,27.21,7.05,2.46
Nifty Media,06-10-2023,2296.65,2304.35,2282.55,2286.75,-0.4,-.02,56146052,460.94,-,2.46,.39
Nifty Metal,06-10-2023,6752.55,6792.35,6719.7,6744.4,35.3,.53,66849583,1730.66,24.54,2.03,3.15
Nifty MNC,06-10-2023,21972.65,22016.4,21915.65,21989.6,87.95,.4,16527696,1800.69,38.06,7.78,2.29
Nifty Pharma,06-10-2023,15086.8,15161.65,15082.05,15128.45,107.05,.71,13415779,1310.24,31.93,4.12,.86
Nifty PSU Bank,06-10-2023,5224.75,5267.5,5181.25,5218.25,13.95,.27,327663598,2914.45,7.95,1.19,2.05
Nifty Realty,06-10-2023,571.9,588.7,571.9,587.5,17.55,3.08,16788587,1124.01,48.66,3.74,.35
Nifty India Consumption,06-10-2023,8474.95,8493.05,8456,8485.6,37.4,.44,40866954,4449.14,41.06,7.29,1.12
Nifty Commodities,06-10-2023,6367.5,6377.9,6340.2,6363.0,23.25,.37,96702156,3505.75,14.38,1.85,2.27
Nifty Dividend Opportunities 50,06-10-2023,4590.45,4605.95,4572.65,4597.7,27.5,.6,268206643,8740.25,15.88,2.85,3.28
Nifty Infrastructure,06-10-2023,6231.5,6236.1,6205.95,6230.2,20.65,.33,92699429,4905.84,19.48,2.47,1.24
Nifty PSE,06-10-2023,5885.75,5910.7,5855.55,5893.2,30.1,.51,133034588,2564.15,8.43,1.54,3.8
Nifty Services Sector,06-10-2023,25169.8,25265.05,25119.25,25231.95,154.05,.61,106913214,10796.97,21.71,3.71,1.32
Nifty50 Shariah,06-10-2023,-,-,-,4193.07,18.35,.44,53164415,4482.82,25.42,4.48,2.24
Nifty500 Shariah,06-10-2023,-,-,-,5739.34,19.24,.34,398118385,13079.21,29.11,4.63,1.59
Nifty Low Volatility 50,06-10-2023,-,-,-,18288.17,89.41,.49,104983156,10405.35,25.47,4,1.47
Nifty Alpha 50,06-10-2023,36248.5,36419.6,36098.9,36326.8,202.6,.56,608898639,7772.84,15.97,2.26,1.32
