Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,10-11-2023,19351.85,19451.3,19329.45,19425.35,30.05,.15,152215785,12916.21,20.95,3.41,1.4
Nifty Next 50,10-11-2023,45568.65,45767.5,45378.5,45724.2,63.8,.14,196494308,7018.31,22.21,3.69,1.64
Nifty 100,10-11-2023,19371.55,19468.75,19344.9,19444.8,31.0,.16,350513268,20014.37,21.26,3.47,1.42
Nifty 200,10-11-2023,10415.45,10469.4,10395.4,10457.55,21.75,.21,1133739139,31653.08,21.44,3.44,1.35
Nifty 500,10-11-2023,17189.7,17274.9,17156.85,17256.6,37.7,.22,1653303161,44434.13,21.98,3.47,1.31
Nifty Midcap 50,10-11-2023,11550.75,11625.55,11481.55,11613.75,59.2,.51,440234960,6624.14,19.43,3.14,1.17
NIFTY Midcap 100,10-11-2023,40509.3,40778.1,40297.25,40733.05,195.4,.48,783225871,11638.7,22.5,3.26,.95
NIFTY Smallcap 100,10-11-2023,13293.9,13382.75,13250.85,13365.2,62.05,.47,274063499,6902.62,25.48,3.28,1.08
Nifty50 Dividend Points,10-11-2023,-,-,-,177.77,0.0,-,-,-,-,-,-
Nifty Auto,10-11-2023,16340.75,16341.1,16185.5,16286.7,-68.6,-.42,44352330,2531.39,23.01,4.64,1.04
Nifty Bank,10-11-2023,43543.25,43908.7,43504.95,43820.1,136.5,.31,89974914,4066.49,15.03,2.55,.85
Nifty Energy,10-11-2023,27535.85,27753.75,27456.15,27738.0,196.2,.71,78428174,2367.6,10.06,1.81,3.09
Nifty Financial Services,10-11-2023,19429.05,19608.2,19423.1,19571.05,79.1,.41,79635167,5607.29,17,3.06,.84
Nifty FMCG,10-11-2023,51959.3,52129.15,51689.05,52076.05,93.05,.18,17976968,1711.35,42.41,10.87,1.89
Nifty IT,10-11-2023,30623.7,30680.85,30504.1,30639.05,-78.65,-.26,12703735,1706.62,25.8,6.68,2.64
Nifty Media,10-11-2023,2258.05,2271.25,2216.9,2232.45,-27.8,-1.23,61728148,904.48,-,2.4,.42
Nifty Metal,10-11-2023,6594.75,6664.65,6571.3,6646.05,46.4,.7,100597089,2324.21,30.41,2,3.21
Nifty MNC,10-11-2023,22057.35,22097.4,21926.45,22076.6,-0.8,0,38391567,2547.73,39.16,7.81,2.29
Nifty Pharma,10-11-2023,15491.7,15529.1,15386.3,15516.5,24.65,.16,19746889,1967.83,31.81,4.23,.84
Nifty PSU Bank,10-11-2023,5001.6,5033.25,4986.1,5025.5,13.4,.27,87166102,1160.16,7.07,1.15,2.13
Nifty Realty,10-11-2023,659.6,666.7,656.15,662.1,1.5,.23,20929448,1395.91,43.78,4.21,.32
Nifty India Consumption,10-11-2023,8555.7,8575.25,8511.2,8565.45,-4.8,-.06,41840597,4963.04,40.39,7.35,1.14
Nifty Commodities,10-11-2023,6455.8,6510.4,6433.35,6502.55,39.7,.61,154839206,5231.05,13.36,1.89,2.44
Nifty Dividend Opportunities 50,10-11-2023,4604.3,4635.3,4598.65,4629.8,18.85,.41,294109729,9706.01,14.96,2.87,3.39
Nifty Infrastructure,10-11-2023,6271.5,6313.55,6254.7,6309.55,29.85,.48,122602482,5287.96,17.17,2.49,1.39
Nifty PSE,10-11-2023,6204.2,6283.65,6192.85,6279.55,74.35,1.2,206243677,4696.27,7.84,1.64,3.86
Nifty Services Sector,10-11-2023,24590.75,24756.55,24583.3,24715.5,55.95,.23,90551752,7346.51,20.15,3.63,1.39
Nifty50 Shariah,10-11-2023,-,-,-,4080.28,-3.77,-.09,60384179,4172.23,25.99,4.36,2.33
Nifty500 Shariah,10-11-2023,-,-,-,5672.19,6.37,.11,424398887,15784.49,29.25,4.6,1.62
Nifty Low Volatility 50,10-11-2023,-,-,-,18537.95,18.62,.1,131542328,9900.55,23.43,4.04,1.67
Nifty Alpha 50,10-11-2023,36965.35,37316,36905.5,37286.65,263.55,.71,286170504,6781.2,15.5,2.32,1.27
Nifty High Beta 50,10-11-2023,-,-,-,2887.22,6.26,.22,362649585,8165.32,17.04,1.91,1.73
Nifty100 Equal Weight,10-11-2023,23197.45,23288.95,23137.85,23269.95,26.3,.11,350513268,20014.37,21.15,3.52,1.55
Nifty100 Liquid 15,10-11-2023,5241.4,5267.4,5235.95,5260.6,6.3,.12,56783237,4973.43,23.18,3,.9
Nifty CPSE,10-11-2023,3999.45,4039.65,3985.15,4036.1,38.4,.96,97836539,1553.94,9.67,1.71,4.84
Nifty50 Value 20,10-11-2023,10194.25,10232.8,10177.3,10219.6,11.75,.12,86169147,3708.35,19.08,3.38,3.04
Nifty Midcap Liquid 15,10-11-2023,9585.2,9656.7,9538.2,9645.15,59.05,.62,101424130,3126.45,17.97,2.77,.97
Nifty Shariah 25,10-11-2023,-,-,-,6654.73,0.93,.01,46227741,3680.53,24,4.21,2.16
India VIX,10-11-2023,10.9825,11.3575,9.86,11.11,0.13,1.14,-,-,-,-,-
Nifty Growth Sectors 15,10-11-2023,9752.95,9780.45,9727.55,9764.85,-6.65,-.07,35315517,3155.64,30.12,7.43,2.16
Nifty50 TR 1x Inverse,10-11-2023,205.35,205.55,204.3,204.55,-0.3,-.15,-,-,-,-,-
Nifty50 TR 2x Leverage,10-11-2023,13581.4,13720.6,13552.4,13684.85,39.75,.29,-,-,-,-,-
Nifty50 PR 1x Inverse,10-11-2023,244.9,245.15,243.65,244.0,-0.3,-.12,-,-,-,-,-
Nifty50 PR 2x Leverage,10-11-2023,9529.1,9626.8,9508.75,9601.7,27.9,.29,-,-,-,-,-
NIFTY100 Quality 30,10-11-2023,4416.85,4425.8,4402.85,4421.0,-4.7,-.11,46982736,6050,27.27,7.07,2.13
Nifty Mahindra Group,10-11-2023,-,-,-,20622.93,-122.58,-.59,8196519,907.07,19.33,3.09,1.96
Nifty 50 Futures TR Index,10-11-2023,-,-,-,20827.56,1.98,.01,-,-,-,-,-
Nifty Tata Group,10-11-2023,-,-,-,14487.63,-21.34,-.15,52127951,2620.41,36.25,6.86,2.18
Nifty Tata Group 25% Cap,10-11-2023,-,-,-,12336.87,7.82,.06,46378013,2391.72,50,5.1,1.48
Nifty Private Bank,10-11-2023,22694.3,22877.45,22673.15,22829.05,59.6,.26,60787966,3406.11,16.78,2.61,.66
Nifty Smallcap 250,10-11-2023,12492.9,12558.4,12458.1,12547.05,52.7,.42,481496385,11702.33,24.39,3.22,1
Nifty Smallcap 50,10-11-2023,6195.5,6239.2,6170.6,6228.3,31.85,.51,168136316,3668.14,25.03,3.2,1.29
Nifty MidSmallcap 400,10-11-2023,14214.6,14286,14163.85,14274.45,55.4,.39,1302789893,24419.76,24.3,3.46,1
Nifty Midcap 150,10-11-2023,15136.45,15212.9,15058.2,15199.15,56.35,.37,821293508,12717.43,24.25,3.61,1
Nifty Midcap Select,10-11-2023,9118.45,9207.6,9074.45,9197.25,74.0,.81,84027848,3298.9,17.86,3.52,.87
NIFTY LargeMidcap 250,10-11-2023,11813.6,11870.85,11775.25,11860.4,31.55,.27,1171806776,32731.8,22.67,3.54,1.2
NIFTY SME EMERGE,10-11-2023,-,-,-,10147.49,-19.67,-.19,-,-,57.25,5.04,.15
Nifty Oil & Gas,10-11-2023,7912.7,7976.55,7897.95,7970.55,47.55,.6,68991214,2020.98,7.15,1.44,2.95
Nifty Financial Services 25/50,10-11-2023,20365.05,20565.35,20356.9,20531.55,102.75,.5,79635167,5607.29,16.06,2.89,.95
Nifty Healthcare Index,10-11-2023,9831.7,9841.1,9765.3,9831.55,-2.6,-.03,19127728,2256.54,36.22,4.69,.67
Nifty500 Multicap 50:25:25,10-11-2023,11820.4,11878.75,11795.35,11867.8,33.0,.28,1653303161,44434.13,22.7,3.44,1.21
Nifty Microcap 250,10-11-2023,16783.8,16890.15,16755.15,16855.95,87.15,.52,928164315,6799.29,26.8,2.58,.8
Nifty Total Market,10-11-2023,9658.4,9706,9641.05,9696.1,22.2,.23,2581467476,51233.42,22.11,3.43,1.29
Nifty India Digital,10-11-2023,6501.55,6520.55,6483.75,6512.0,-1.65,-.03,318143452,3620.87,117.93,8.14,1.32
Nifty Mobility,10-11-2023,-,-,-,13567.98,-40.49,-.3,155217454,5698.65,22,4.34,1.05
Nifty India Defence,10-11-2023,-,-,-,3376.6,1.66,.05,18161340,1921.66,36.59,7.96,.8
Nifty Financial Services Ex-Bank,10-11-2023,-,-,-,20778.2,157.95,.77,78454043,5776.31,19.29,3.33,1.01
Nifty Housing,10-11-2023,-,-,-,8782.87,36.87,.42,391066269,8795.38,24.36,2.85,1.1
Nifty Transportation & Logistics,10-11-2023,-,-,-,15546.24,-63.85,-.41,101447032,4235.91,25.6,4.79,.88
Nifty MidSmall Financial Services,10-11-2023,-,-,-,11733.08,107.51,.92,308226826,5298.32,13.82,1.98,1.33
Nifty MidSmall Healthcare,10-11-2023,-,-,-,27531.92,138.6,.51,29770255,2124.08,43.65,4.53,.56
Nifty MidSmall IT & Telecom,10-11-2023,-,-,-,8363.9,12.27,.15,261616235,1285.53,130.47,13.86,1.07
Nifty MidSmall India Consumption,10-11-2023,-,-,-,13621.49,14.88,.11,49854237,2503.42,59.83,6.31,.49
Nifty REITs & InvITs,10-11-2023,-,-,-,986.87,-0.76,-.08,2339813,32.75,67.28,1.52,7.2
Nifty Core Housing,10-11-2023,-,-,-,12537.48,38.56,.31,22895604,2284.61,31.48,3.38,.53
Nifty Consumer Durables,10-11-2023,28402.6,28466.1,28219.1,28424.75,-44.7,-.16,4274973,794.81,60.51,9.1,.48
Nifty Non-Cyclical Consumer,10-11-2023,-,-,-,12275.46,-7.36,-.06,100398309,4664.71,57.05,10.22,.96
NIFTY100 Alpha 30,10-11-2023,-,-,-,12756.26,55.68,.44,132535470,6138.43,22.74,3.12,1.19
NIFTY500 Value 50,10-11-2023,-,-,-,9425.87,96.9,1.04,381166873,7305.47,7.36,1.22,4.15
Nifty100 Low Volatility 30,10-11-2023,15188.4,15229.1,15152.65,15212.45,0.8,.01,93795909,6856.21,22.01,4.45,1.81
NIFTY Alpha Low-Volatility 30,10-11-2023,20318.15,20440.9,20272.95,20420.85,72.25,.36,107580040,6523.71,17.61,3.31,1.61
NIFTY Quality Low-Volatility 30,10-11-2023,-,-,-,13921.0,-23.51,-.17,54847830,5234.94,26.57,6.64,2.17
NIFTY Alpha Quality Low-Volatility 30,10-11-2023,-,-,-,16691.36,31.44,.19,73736790,4926.19,21.72,5.39,2.22
NIFTY Alpha Quality Value Low-Volatility 30,10-11-2023,-,-,-,14514.54,48.26,.33,100401565,6709.73,17.1,4.1,2.48
NIFTY200 Quality 30,10-11-2023,16338.4,16346.4,16275.35,16331.4,-40.45,-.25,30833939,3624.38,27,7.77,2.39
NIFTY Midcap150 Quality 50,10-11-2023,18850.7,18861.05,18736.45,18813.8,-27.8,-.15,24656378,2107.42,33.81,8.09,1.65
Nifty200 Momentum 30,10-11-2023,23499.85,23651.45,23389.8,23623.45,108.5,.46,124499109,5645.34,17.7,3.14,1.14
Nifty India Manufacturing,10-11-2023,9734.1,9766.95,9675.9,9749.75,8.85,.09,172662683,9817.47,23.99,3.65,1.36
Nifty100 ESG Sector Leaders,10-11-2023,3153.6,3165.3,3148.5,3161.55,0.6,.02,103205869,9558.9,26.11,4.35,1.32
Nifty200 Alpha 30,10-11-2023,-,-,-,17736.3,163.69,.93,159982058,6049.66,16.71,2.3,1.08
Nifty Midcap150 Momentum 50,10-11-2023,-,-,-,43147.4,233.35,.54,188580921,4978.47,19.35,3.02,.91
Nifty Smallcap250 Quality 50,10-11-2023,-,-,-,20040.26,111.11,.56,71336042,3028.31,22.8,3.61,1.66
NIFTY100 ESG,10-11-2023,3691.35,3705.25,3685.4,3700.9,0.7,.02,270294384,16488.98,25.87,4.52,1.33
NIFTY100 Enhanced ESG,10-11-2023,-,-,-,3729.72,0.41,.01,240722570,14914.9,26.54,4.69,1.32
NIFTY50 Equal Weight,10-11-2023,23508.05,23593.1,23462.85,23568.3,24.7,.1,152215785,12916.21,19.35,3.22,1.55
Nifty 50 Futures Index,10-11-2023,-,-,-,5726.57,-0.57,-.01,-,-,-,-,-
Nifty 50 Arbitrage,10-11-2023,-,-,-,2232.91,2.52,.11,-,-,-,-,-
Nifty Aditya Birla Group,10-11-2023,-,-,-,6393.74,16.92,.27,261540708,839.21,-,2.87,.43
Nifty 8-13 yr G-Sec,10-11-2023,2480.18,2480.18,2474.62,2474.99,-4.71,-.19,-,-,-,-,-
Nifty 4-8 yr G-Sec Index,10-11-2023,2700.97,2700.97,2697.04,2697.15,-3.29,-.12,-,-,-,-,-
Nifty 11-15 yr G-Sec Index,10-11-2023,2718.34,2718.34,2710.14,2710.14,-7.66,-.28,-,-,-,-,-
Nifty 15 yr and above G-Sec Index,10-11-2023,2963.35,2963.35,2948.93,2948.93,-13.83,-.47,-,-,-,-,-
Nifty Composite G-sec Index,10-11-2023,2560.6,2560.6,2555.09,2555.22,-4.87,-.19,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec,10-11-2023,2197.55,2197.55,2192.29,2192.9,-4.22,-.19,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec (Clean Price),10-11-2023,864.72,864.72,862.61,862.86,-1.86,-.22,-,-,-,-,-
Nifty 1D Rate Index,10-11-2023,-,-,-,2202.27,0.41,.02,-,-,-,-,-
