Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,01-01-2020,12202.15,12222.2,12165.3,12182.5,14.05,.12,304078039,10445.68,28.33,3.76,1.24
Nifty Next 50,01-01-2020,28353.45,28436.8,28272.3,28293.35,-14.2,-.05,138671499,2473.8,65.4,3.85,1.15
Nifty 100,01-01-2020,12299.85,12320.75,12263.2,12279.05,11.3,.09,446251194,12946.17,30.71,3.77,1.22
Nifty 200,01-01-2020,6271.15,6281.45,6253.85,6261.7,6.75,.11,634674804,16175.73,29.98,3.59,1.21
Nifty 500,01-01-2020,9897.95,9914.4,9875.1,9888.55,16.0,.16,867072979,19186.24,30.89,3.45,1.19
Nifty Midcap 50,01-01-2020,4710.75,4724.75,4693.05,4711.55,10.45,.22,169077564,2712.64,23.5,2.17,1.34
NIFTY Midcap 100,01-01-2020,17142.2,17175.35,17088.5,17143.25,40.75,.24,188423610,3229.56,25.01,2.6,1.1
NIFTY Smallcap 100,01-01-2020,5853.1,5884.1,5852.3,5876.2,41.45,.71,134008877,1817.44,101.15,2.05,1.2
Nifty50 Dividend Points,01-01-2020,-,-,-,118.39,0.0,-,-,-,-,-,-
Nifty Auto,01-01-2020,8262.5,8276.8,8200.25,8210.1,-38.2,-.46,44710008,1802.03,24.24,3.64,1.34
Nifty Bank,01-01-2020,32237.9,32348,32057.2,32102.9,-58.75,-.18,184671555,3183.97,40.73,3.35,.31
Nifty Energy,01-01-2020,15936.4,16009.65,15910.15,15987.8,79.6,.5,40598613,1519.79,12.48,1.65,3.24
Nifty Financial Services,01-01-2020,14590.1,14621.65,14543.4,14574.2,16.8,.12,65150366,3274.21,35.41,4.57,.48
Nifty FMCG,01-01-2020,30202.75,30251.2,30119.1,30234.25,112.75,.37,10343897,676.25,38.08,10.65,1.33
Nifty IT,01-01-2020,15705.9,15746.25,15676.7,15722.15,69.75,.45,9390770,796.37,20.76,5.14,2.01
Nifty Media,01-01-2020,1809.6,1817.6,1789.9,1794.2,-9.4,-.52,59060199,429.62,67.3,2.26,1.14
Nifty Metal,01-01-2020,2805.45,2818,2773.75,2796.05,-5.25,-.19,107671089,1847.73,10.18,1.19,4.37
Nifty MNC,01-01-2020,13819.7,13840.8,13787.95,13801.55,12.6,.09,83673384,1268.2,,4.06,1.85
Nifty Pharma,01-01-2020,8060.3,8076.65,8018.95,8047.1,6.95,.09,8898088,613.47,25.82,3.16,.65
Nifty PSU Bank,01-01-2020,2531.4,2540.2,2514.2,2526.4,2.05,.08,53100764,912.49,,.87,.03
Nifty Realty,01-01-2020,299.45,300.65,296.9,297.85,-0.7,-.23,12878961,188.23,30.73,2.85,.44
Nifty India Consumption,01-01-2020,4968.85,4976.05,4949,4953.35,-3.25,-.07,38520944,2769.11,54.75,5.81,1.13
Nifty Commodities,01-01-2020,3438.7,3446.2,3420.45,3437.85,5.75,.17,137209938,3422.75,13.76,1.6,3
Nifty Dividend Opportunities 50,01-01-2020,2543.3,2549,2538.75,2547.2,10.1,.4,125042915,3011.89,14.72,2.36,3.75
Nifty Infrastructure,01-01-2020,3264.7,3273.65,3256.75,3263.25,7.95,.24,82889610,3544.01,24.2,2.38,1.89
Nifty PSE,01-01-2020,3230.05,3249.5,3221,3245.5,18.9,.59,97015878,1062.93,9.87,1.37,4.56
Nifty Services Sector,01-01-2020,17497.7,17525.35,17454.8,17490.5,37.65,.22,230421459,6139.26,32.46,4.16,1.04
Nifty50 Shariah,01-01-2020,-,-,-,2492.99,4.9,.2,27284570,1764,24.22,4.45,2.07
Nifty500 Shariah,01-01-2020,-,-,-,2983.01,6.83,.23,119147141,3973.25,25.77,4.35,1.63
Nifty Low Volatility 50,01-01-2020,-,-,-,10610.07,51.6,.49,61686319,4304.05,23.05,3.97,1.55
Nifty Alpha 50,01-01-2020,13108.95,13197.7,13106,13191.15,119.2,.91,59502967,4008.93,36.15,6.62,.5
Nifty High Beta 50,01-01-2020,-,-,-,1399.74,1.18,.08,466719348,6943.29,,1.14,1.56
Nifty100 Equal Weight,01-01-2020,13419.55,13448.2,13376.1,13387.8,-1.85,-.01,446251194,12946.17,118.11,2.62,1.71
Nifty100 Liquid 15,01-01-2020,3849.95,3864,3825.65,3831.9,-12.25,-.32,221882148,4928.54,21.77,2.04,1.55
Nifty CPSE,01-01-2020,1937.25,1946.35,1929.45,1942.95,7.05,.36,40230608,455.3,8.79,1.29,5.3
Nifty50 Value 20,01-01-2020,5471.2,5483.55,5460.85,5478.45,22.5,.41,188550491,3242.39,15.22,2.56,3.12
Nifty Midcap Liquid 15,01-01-2020,4042.8,4050.85,4020.95,4044.3,10.4,.26,31962736,801.71,20.35,2.39,1.45
Nifty Shariah 25,01-01-2020,-,-,-,4324.44,0.41,.01,26655607,1527.51,25.39,3.99,1.59
India VIX,01-01-2020,11.6675,11.73,11.085,11.6,-0.07,-.6,-,-,-,-,-
Nifty Growth Sectors 15,01-01-2020,6427.35,6435.1,6403.3,6412.15,1.25,.02,31296333,2631.81,31.55,6.53,.83
Nifty50 TR 1x Inverse,01-01-2020,336.4,337.45,335.85,336.95,-0.35,-.1,-,-,-,-,-
Nifty50 TR 2x Leverage,01-01-2020,6908.9,6931.35,6867.4,6886.7,14.95,.22,-,-,-,-,-
Nifty50 PR 1x Inverse,01-01-2020,383.55,384.7,382.9,384.15,-0.4,-.1,-,-,-,-,-
Nifty50 PR 2x Leverage,01-01-2020,5314.4,5331.7,5282.5,5297.35,11.55,.22,-,-,-,-,-
NIFTY100 Quality 30,01-01-2020,2736.3,2739.25,2729.55,2731.2,1.15,.04,49207592,3940.39,27.33,7.2,1.71
Nifty 50 Futures TR Index,01-01-2020,-,-,-,12315.21,-0.57,0,-,-,-,-,-
Nifty 50 Arbitrage,01-01-2020,-,-,-,1881.52,1.74,.09,-,-,-,-,-
NIFTY50 Equal Weight,01-01-2020,12459.25,12476.4,12412.15,12432.65,5.45,.04,304078039,10445.68,22.23,2.49,1.97
Nifty100 Low Volatility 30,01-01-2020,8934.7,8950.95,8923.45,8945.75,34.9,.39,57421907,4533.56,22.96,4.47,1.57
NIFTY Alpha Low-Volatility 30,01-01-2020,-,-,-,12076.38,23.52,.2,58600684,4325.05,29.4,5.45,1.15
NIFTY Quality Low-Volatility 30,01-01-2020,-,-,-,8521.08,17.36,.2,31312888,2936.74,28.07,7.02,1.52
NIFTY Alpha Quality Low-Volatility 30,01-01-2020,-,-,-,9653.73,4.48,.05,38722760,3767.24,30.29,7.67,1.25
NIFTY Alpha Quality Value Low-Volatility 30,01-01-2020,-,-,-,7309.21,18.76,.26,55178697,3165.81,20.17,4.2,2.09
NIFTY200 Quality 30,01-01-2020,9874.45,9884.3,9848.2,9854.7,1.35,.01,45983200,3291.74,26.2,6.98,1.88
NIFTY LargeMidcap 250,01-01-2020,-,-,-,6059.15,13.6,.22,652561059,16676.55,28.8,3.33,1.11
NIFTY SME EMERGE,01-01-2020,-,-,-,1340.49,-5.21,-.39,-,-,13.78,1.29,.37
NIFTY100 ESG,01-01-2020,-,-,-,2261.62,2.27,.1,372932233,11264.59,31.38,4.07,1.11
NIFTY100 Enhanced ESG,01-01-2020,-,-,-,2283.44,2.21,.1,365945919,11030.72,31.4,4.08,1.13
Nifty 50 Futures Index,01-01-2020,-,-,-,4107.66,-0.82,-.02,-,-,-,-,-
Nifty Aditya Birla Group,01-01-2020,-,-,-,2976.9,-1.9,-.06,63050056,277.12,,1.48,.35
Nifty Midcap 150,01-01-2020,6335.7,6353.2,6321.15,6343.95,22.35,.35,206309865,3730.38,27.23,2.99,.99
NIFTY500 Value 50,01-01-2020,-,-,-,3689.27,11.13,.3,290426433,3934.32,9.51,.99,5.06
Nifty Smallcap 50,01-01-2020,2823.7,2836.35,2821.15,2833.35,20.15,.72,90872720,835.11,22.89,1.88,1.07
Nifty Smallcap 250,01-01-2020,4870.3,4896.5,4869.65,4892.7,35.3,.73,214511920,2509.7,49.89,1.88,1.23
Nifty Private Bank,01-01-2020,17809.1,17875.45,17694.1,17711.65,-55.95,-.31,146730922,2437.77,41.18,3.82,.39
Nifty Tata Group 25% Cap,01-01-2020,-,-,-,4924.55,-31.49,-.64,49306545,1864.66,21.32,2.74,.88
Nifty Tata Group,01-01-2020,-,-,-,6984.2,-5.37,-.08,55710384,1940.29,24.3,5.32,1.09
Nifty Mahindra Group,01-01-2020,-,-,-,9903.29,73.35,.75,5178393,255.79,15.68,2.64,1.68
Nifty MidSmallcap 400,01-01-2020,5810.8,5831.3,5804,5824.3,27.25,.47,420821785,6240.08,31.71,2.53,1.06
Nifty 8-13 yr G-Sec,01-01-2020,2024.45,2033.08,2024.45,2033.08,9.0,.44,-,-,-,-,-
Nifty 4-8 yr G-Sec Index,01-01-2020,2141.86,2149.03,2141.86,2148.9,7.43,.35,-,-,-,-,-
Nifty 11-15 yr G-Sec Index,01-01-2020,2161.62,2172.09,2161.62,2172.09,10.89,.5,-,-,-,-,-
Nifty 15 yr and above G-Sec Index,01-01-2020,2335.41,2341.95,2335.41,2341.95,7.0,.3,-,-,-,-,-
Nifty Composite G-sec Index,01-01-2020,2057.79,2064.63,2057.79,2064.63,7.22,.35,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec,01-01-2020,1867.58,1874.58,1867.58,1874.58,7.33,.39,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec (Clean Price),01-01-2020,943.56,947.16,943.56,947.16,3.59,.38,-,-,-,-,-
Nifty 1D Rate Index,01-01-2020,-,-,-,1861.1,0.24,.01,-,-,-,-,-
