Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,07-08-2020,11186.65,11231.9,11142.05,11214.05,13.9,.12,452629891,27054.43,30.72,3.16,1.47
Nifty Next 50,07-08-2020,27127.5,27193.85,27022.85,27130.45,66.0,.24,228294636,8960.36,33.32,3.85,1.03
Nifty 100,07-08-2020,11337.2,11377.15,11297.15,11361.4,15.95,.14,680924527,36014.79,31.05,3.24,1.41
Nifty 200,07-08-2020,5786.8,5811.7,5767.65,5803.45,15.0,.26,1996660610,48249.98,33.86,3.06,1.42
Nifty 500,07-08-2020,9170.05,9211.75,9142.3,9198.65,29.55,.32,2334527570,53564.34,33.73,2.99,1.41
Nifty Midcap 50,07-08-2020,4364.2,4447.05,4352.25,4437.75,81.35,1.87,1241438996,9805.72,,1.58,2.1
NIFTY Midcap 100,07-08-2020,15958.9,16131.75,15929.4,16103.35,198.2,1.25,1315736083,12235.19,130.66,2.11,1.47
NIFTY Smallcap 100,07-08-2020,5213.9,5274.05,5205.4,5262.9,54.6,1.05,167271036,2938.15,21.34,1.95,1.52
Nifty50 Dividend Points,07-08-2020,-,-,-,41.78,0.0,-,-,-,-,-,-
Nifty Auto,07-08-2020,7484.95,7598.3,7468.2,7554.45,56.2,.75,123891668,4215.94,57.7,3.41,2.02
Nifty Bank,07-08-2020,21620.25,21787.25,21451.3,21754.0,111.4,.51,378616471,7686.14,23.09,1.8,.59
Nifty Energy,07-08-2020,15444.6,15562.15,15413.1,15498.05,89.9,.58,123643536,4733.68,15.74,1.37,3.81
Nifty Financial Services,07-08-2020,10776.2,10840.55,10699,10823.1,25.75,.24,167501231,10478.49,23.22,2.73,.76
Nifty FMCG,07-08-2020,31329.65,31597,31209,31490.6,203.0,.65,69952396,3867.27,39.7,10.39,1.36
Nifty IT,07-08-2020,18182.3,18182.3,17977.7,18004.15,-184.6,-1.01,32147519,2882.29,23.91,6.16,2.25
Nifty Media,07-08-2020,1341.2,1351.15,1334.4,1336.0,-0.7,-.05,25230193,340.1,7855.46,1.69,1.72
Nifty Metal,07-08-2020,2286.45,2319.9,2280.5,2314.35,19.6,.85,112004310,1725.3,11.1,1.1,3.9
Nifty MNC,07-08-2020,13724.95,13948.55,13717,13908.35,170.5,1.24,736554125,3857.09,,5.59,1.19
Nifty Pharma,07-08-2020,11410.15,11468,11283.6,11333.0,-70.65,-.62,49862705,5184.98,33.48,4.93,.47
Nifty PSU Bank,07-08-2020,1414.4,1431.4,1405.7,1427.0,14.05,.99,120038698,1179.23,,.61,0
Nifty Realty,07-08-2020,206.1,206.75,203.5,203.95,-0.65,-.32,17322718,272.47,37.92,1.84,.44
Nifty India Consumption,07-08-2020,5026.65,5071.9,5020,5057.95,32.85,.65,112131398,7916.76,157.12,6.02,1.4
Nifty Commodities,07-08-2020,3078.9,3096.9,3075.9,3091.4,19.2,.62,203594716,8052.91,17.87,1.53,2.92
Nifty Dividend Opportunities 50,07-08-2020,2414.15,2417.5,2406.75,2411.75,0.4,.02,368590729,8820.22,16.46,2.38,3.91
