Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,23-07-2018,11019.85,11093.4,11010.95,11084.75,74.55,.68,236153085,14932.51,27.54,3.61,1.21
Nifty Next 50,23-07-2018,27699.75,28085.2,27691.45,28065.85,472.2,1.71,203706424,4211.87,43.88,3.27,1.21
Nifty 100,23-07-2018,11230,11314.9,11222.05,11306.95,91.15,.81,442525231,19181.87,29.04,3.56,1.21
Nifty 200,23-07-2018,5818.5,5863.2,5814.65,5859.35,49.25,.85,871545528,25271.5,30.89,3.49,1.14
Nifty 500,23-07-2018,9301.7,9369.8,9295.95,9363.85,77.75,.84,1275971981,29514.33,32.6,3.36,1.1
Nifty Midcap 50,23-07-2018,4813.05,4849.25,4754.25,4844.55,46.45,.97,347460435,4086.38,66.74,2.48,.79
NIFTY Midcap 100,23-07-2018,18105.95,18266.7,17992.75,18255.2,200.05,1.11,429020297,6089.63,59.35,3.06,.68
NIFTY Smallcap 100,23-07-2018,7059.3,7088.3,6997.1,7082.05,51.3,.73,337138171,3307.56,79.5,1.83,.66
Nifty50 Dividend Points,23-07-2018,-,-,-,68.37,0.0,-,-,-,-,-,-
Nifty Auto,23-07-2018,10788.95,10788.95,10600,10770.6,17.9,.17,64462907,3335.16,32.93,5.55,.8
Nifty Bank,23-07-2018,26701.3,27040.1,26671.35,27008.15,134.95,.5,125717272,3638.84,52.02,3.04,.46
Nifty Energy,23-07-2018,14570.65,14580.45,14445.35,14508.35,-33.95,-.23,39802113,1405.51,16.18,2.05,1.95
Nifty Financial Services,23-07-2018,11205.75,11324.6,11197.3,11312.7,42.15,.37,69996579,4710.34,36.99,3.61,.65
Nifty FMCG,23-07-2018,29643.55,30031.7,29529.95,30000.9,719.9,2.46,38962495,1775.33,44.63,11.2,1.18
Nifty IT,23-07-2018,14726.7,14726.7,14571.6,14683.2,-18.2,-.12,33488923,2048.31,20.82,5.29,1.9
Nifty Media,23-07-2018,2817.05,2849.2,2791.25,2835.85,22.1,.79,14341758,256.36,32.56,5.41,.51
Nifty Metal,23-07-2018,3102.9,3151.65,3068.8,3139.35,47.15,1.52,67328331,1346.16,14.76,1.35,4.02
Nifty MNC,23-07-2018,14196.55,14451.75,14154.15,14431.4,322.55,2.29,53456031,1742.35,33.14,5.61,1.67
Nifty Pharma,23-07-2018,8917.45,8951.65,8858.15,8937.4,42.15,.47,12349533,869.25,51.76,3.94,.54
Nifty PSU Bank,23-07-2018,2806.35,2874.8,2787.55,2868.7,66.35,2.37,122043589,1386.7,,.96,.01
Nifty Realty,23-07-2018,257,262.15,256.85,261.5,4.4,1.71,19236864,238.15,74.69,1.2,.36
Nifty India Consumption,23-07-2018,5086.05,5119.75,5071.1,5114.9,62.2,1.23,78708263,5294,49.48,6.19,.89
Nifty Commodities,23-07-2018,3434.8,3470.55,3426.7,3466.7,45.5,1.33,122954910,4371.45,16.22,1.83,3.07
Nifty Dividend Opportunities 50,23-07-2018,2631.75,2637.5,2621.5,2634.75,14.65,.56,222252356,6477.86,16.7,3.09,2.81
Nifty Infrastructure,23-07-2018,3033.5,3083.75,3032.9,3078.4,46.1,1.52,246124944,1617.16,35.8,2.1,1.26
Nifty PSE,23-07-2018,3483.3,3517.65,3475.05,3489.8,11.1,.32,77508638,1068.86,10.82,1.66,4.37
Nifty Services Sector,23-07-2018,14953.35,15092.3,14938.35,15076.55,78.9,.53,153921630,7583.26,30.75,3.51,.98
Nifty50 Shariah,23-07-2018,-,-,-,2442.89,28.9,1.2,63933607,4884.68,23.99,3.7,1.63
Nifty500 Shariah,23-07-2018,-,-,-,2988.31,36.24,1.23,274617240,10340.94,27.91,4.18,1.18
Nifty Low Volatility 50,23-07-2018,-,-,-,9883.82,43.03,.44,116628972,9065.26,27.41,3.92,1.44
Nifty Alpha 50,23-07-2018,13533.3,13556.75,13409.3,13503.85,34.1,.25,138497729,6174.5,31.18,6.63,.45
Nifty High Beta 50,23-07-2018,-,-,-,1810.27,46.36,2.63,559393978,6577.32,,1.22,1
Nifty100 Equal Weight,23-07-2018,13262.3,13401.55,13254.9,13392.7,171.55,1.3,442525231,19181.87,31.17,2.83,1.67
Nifty100 Liquid 15,23-07-2018,4057.15,4109.65,4046.7,4106.25,62.9,1.56,99422065,3101.44,34.96,1.77,1.53
Nifty CPSE,23-07-2018,2227.55,2247.75,2214.6,2221.4,-4.55,-.2,30946794,483.4,10.12,1.72,4.91
Nifty50 Value 20,23-07-2018,5040.2,5054.85,5011.2,5051.2,21.25,.42,110520615,6392.73,23.07,2.8,1.68
Nifty Midcap Liquid 15,23-07-2018,3974.95,4010.25,3929.2,4003.85,41.55,1.05,52076529,1147.59,46.89,2.44,.58
Nifty Shariah 25,23-07-2018,-,-,-,4216.37,50.62,1.22,72808288,5297.97,27.67,4.24,1.37
India VIX,23-07-2018,13.535,13.62,12.0675,13.01,-0.53,-3.92,-,-,-,-,-
Nifty Growth Sectors 15,23-07-2018,6875.65,6910.55,6835.75,6900.75,70.55,1.03,44122007,3901.74,33.83,7.47,.98
Nifty50 TR 1x Inverse,23-07-2018,357.8,357.85,355.4,355.65,-2.25,-.63,-,-,-,-,-
Nifty50 TR 2x Leverage,23-07-2018,6097.65,6178.75,6096.15,6169.4,79.65,1.31,-,-,-,-,-
Nifty50 PR 1x Inverse,23-07-2018,401.05,401.1,398.4,398.7,-2.5,-.62,-,-,-,-,-
Nifty50 PR 2x Leverage,23-07-2018,4853,4917.5,4851.8,4910.1,63.05,1.3,-,-,-,-,-
NIFTY100 Quality 30,23-07-2018,2707.2,2719.05,2699.9,2714.05,16.9,.63,93966564,8196.75,27.71,6.68,1.6
Nifty Tata Group 25% Cap,23-07-2018,-,-,-,4787.62,58.06,1.23,31045343,1400.42,61.4,2.96,.88
Nifty Private Bank,23-07-2018,15118.75,15312.8,15106.45,15296.05,100.15,.66,139096963,2893.49,35.06,3.4,.51
Nifty Smallcap 250,23-07-2018,-,-,-,5678.83,46.61,.83,396903190,3861.13,105.86,1.92,.63
Nifty Smallcap 50,23-07-2018,-,-,-,3597.63,20.62,.58,281384691,1976.7,476.31,1.64,.61
Nifty MidSmallcap 400,23-07-2018,-,-,-,6180.87,57.12,.93,833446750,10332.46,61.93,2.76,.67
Nifty Midcap 150,23-07-2018,-,-,-,6453.49,62.78,.98,436543560,6471.33,51.81,3.47,.69
Nifty Aditya Birla Group,23-07-2018,-,-,-,3614.08,55.74,1.57,25060688,535.16,328.62,2.38,.34
Nifty 50 Futures Index,23-07-2018,-,-,-,4010.03,27.26,.68,-,-,-,-,-
Nifty 50 Futures TR Index,23-07-2018,-,-,-,10937.63,80.4,.74,-,-,-,-,-
