Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty100 Low Volatility 30,05-02-2024,17667.75,17767.65,17600.2,17642.8,53.6,.3,229281479,15535.75,25.78,5.44,1.38
NIFTY Alpha Low-Volatility 30,05-02-2024,24735.9,24883.4,24579.7,24664.85,58.15,.24,250710501,14170.18,22.68,4.43,1.34
NIFTY Quality Low-Volatility 30,05-02-2024,-,-,-,15770.52,-28.61,-.18,108758585,11524.67,30.47,7.74,1.55
NIFTY Alpha Quality Low-Volatility 30,05-02-2024,-,-,-,19843.18,2.92,.01,104482556,9057.76,27.88,7.22,1.56
NIFTY Alpha Quality Value Low-Volatility 30,05-02-2024,-,-,-,18078.91,47.98,.27,213871222,13117.94,19.11,4.58,2.07
NIFTY200 Quality 30,05-02-2024,18678,18731.65,18508.3,18543.3,-58.9,-.32,95760438,7997.85,32.91,9.61,1.85
NIFTY Midcap150 Quality 50,05-02-2024,20995.75,21043.8,20838.8,20858.25,-65.95,-.32,85748716,5701.48,29.16,7.1,1.38
Nifty200 Momentum 30,05-02-2024,29389.75,29678.55,29157.4,29305.9,131.95,.45,334259444,14996.4,21.56,3.99,1.29
Nifty India Manufacturing,05-02-2024,11445.35,11518.4,11377.65,11412.7,47.3,.42,473784331,23027.4,26.01,4.27,1.14
Nifty100 ESG Sector Leaders,05-02-2024,3601.95,3608.8,3565.3,3572.15,-16.5,-.46,576409355,37059.72,26.28,4.19,.95
Nifty200 Alpha 30,05-02-2024,22241,22443.6,22016.9,22114.25,14.25,.06,560179850,14937.98,34.3,4.33,1.02
Nifty Midcap150 Momentum 50,05-02-2024,52882.65,53541.4,52771.05,53040.55,364.0,.69,934181590,18081.39,24.75,3.97,.88
Nifty Smallcap250 Quality 50,05-02-2024,-,-,-,24250.52,-32.17,-.13,181239663,5919.4,23.85,4.77,1.41
Nifty Smallcap250 Momentum Quality 100,05-02-2024,-,-,-,45020.72,6.54,.01,623295959,13493.04,27.43,4.52,.99
NIFTY100 ESG,05-02-2024,4279.6,4291,4235.35,4243.8,-16.2,-.38,860590737,48488.11,24.83,4.4,1.07
