INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTSTK,APLLTD,24-Jun-2021,0,XX,0,0,0,935.05,964.05,0,0,0,0,30-Mar-2021
FUTSTK,APOLLOHOSP,29-Apr-2021,0,XX,2887.85,2978.95,2887.85,2942.90,2942.90,2187,32140.45,1727000,90000,30-Mar-2021
FUTSTK,APOLLOHOSP,27-May-2021,0,XX,2952.40,2978,2923.35,2952.95,2952.95,25,368.40,18000,-500,30-Mar-2021
FUTSTK,APOLLOHOSP,24-Jun-2021,0,XX,0,0,0,2835.75,2951.55,0,0,0,0,30-Mar-2021
FUTSTK,APOLLOTYRE,29-Apr-2021,0,XX,228,228.80,221.40,224.60,224.60,1201,13497.56,9140000,165000,30-Mar-2021
FUTSTK,APOLLOTYRE,27-May-2021,0,XX,229.85,229.95,223,225.15,225.15,35,395.02,275000,25000,30-Mar-2021
FUTSTK,APOLLOTYRE,24-Jun-2021,0,XX,0,0,0,221.15,224.95,0,0,0,0,30-Mar-2021
FUTSTK,ASHOKLEY,29-Apr-2021,0,XX,115.75,115.95,112.15,114.15,114.15,2385,24451.53,38790000,1062000,30-Mar-2021
FUTSTK,ASHOKLEY,27-May-2021,0,XX,115.95,116.15,112.80,114.65,114.65,66,677.22,1440000,36000,30-Mar-2021
FUTSTK,ASHOKLEY,24-Jun-2021,0,XX,116.05,116.05,114,114.25,114.70,7,72.12,63000,36000,30-Mar-2021
FUTSTK,ASIANPAINT,29-Apr-2021,0,XX,2541.75,2594.85,2533.65,2588.85,2588.85,6822,52655.04,5312400,-207600,30-Mar-2021
FUTSTK,ASIANPAINT,27-May-2021,0,XX,2556,2604.50,2549,2600.80,2600.80,298,2305.31,103800,24900,30-Mar-2021
FUTSTK,ASIANPAINT,24-Jun-2021,0,XX,2538,2605,2538,2602.50,2602.50,5,38.82,1800,900,30-Mar-2021
FUTSTK,AUBANK,29-Apr-2021,0,XX,1195,1305,1168,1273.20,1273.20,6789,42776.29,1801500,1164000,30-Mar-2021
FUTSTK,AUBANK,27-May-2021,0,XX,1181.30,1292.50,1176.65,1277.60,1277.60,43,271.70,30500,6500,30-Mar-2021
FUTSTK,AUBANK,24-Jun-2021,0,XX,0,0,0,1205.50,1310.30,0,0,500,0,30-Mar-2021
FUTSTK,AUROPHARMA,29-Apr-2021,0,XX,866.10,877.85,856.15,875.25,875.25,2675,15168.78,8453250,-53300,30-Mar-2021
FUTSTK,AUROPHARMA,27-May-2021,0,XX,878.55,880.65,869,880.65,880.65,20,114.05,53300,2600,30-Mar-2021
FUTSTK,AUROPHARMA,24-Jun-2021,0,XX,0,0,0,848.05,878.10,0,0,0,0,30-Mar-2021
FUTSTK,AXISBANK,29-Apr-2021,0,XX,711.95,716.90,696.60,700.75,700.75,18378,155742.75,40268400,5410800,30-Mar-2021
FUTSTK,AXISBANK,27-May-2021,0,XX,705.50,719.25,700.10,705.55,705.55,424,3616.31,468000,165600,30-Mar-2021
FUTSTK,AXISBANK,24-Jun-2021,0,XX,722.35,722.35,704.60,706.70,706.70,11,93.73,8400,1200,30-Mar-2021
FUTSTK,BAJAJ-AUTO,29-Apr-2021,0,XX,3630.30,3689.20,3602.20,3680.05,3680.05,2205,20191.95,2055250,-51750,30-Mar-2021
FUTSTK,BAJAJ-AUTO,27-May-2021,0,XX,3620.50,3698.65,3607.25,3693.40,3693.40,35,320.53,20250,750,30-Mar-2021
FUTSTK,BAJAJ-AUTO,24-Jun-2021,0,XX,0,0,0,3631.10,3699.15,0,0,1000,0,30-Mar-2021
FUTSTK,BAJAJFINSV,29-Apr-2021,0,XX,9297.05,9693,9297.05,9559.80,9559.80,2142,25658.47,554375,-18125,30-Mar-2021
