Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,01-03-2017,8904.4,8960.8,8898.6,8945.8,66.2,.75,212328974,9681.99,23.3,3.39,1.24
Nifty Next 50,01-03-2017,24509.6,24563.95,24401.45,24456.65,32.3,.13,115330095,3463.77,25.04,3.75,1.49
Nifty 100,01-03-2017,9197.65,9248.15,9191.65,9229.75,58.8,.64,327659069,13145.76,23.58,3.45,1.28
Nifty 200,01-03-2017,4807.6,4831.2,4804.95,4821.2,28,.58,559088623,16926.88,24.54,3.28,1.23
Nifty 500,01-03-2017,7733.3,7769.95,7729.35,7754.7,45.6,.59,1029100834,20557.43,26.73,3.13,1.19
Nifty Midcap 50,01-03-2017,4202.5,4218.9,4191.6,4199.35,12.1,.29,167266658,2550.39,34.03,1.91,1.01
Nifty Free Float Midcap 100,01-03-2017,16557.45,16604.8,16523.4,16539.3,58.8,.36,270473231,4585.26,31.41,2.27,1.38
Nifty Free Float Smallcap 100,01-03-2017,6740.15,6764.15,6733.75,6742.95,34.75,.52,300359213,1864.52,462.43,1.38,.77
Nifty50 Dividend Points,01-03-2017,-,-,-,100.64,0,-,-,-,-,-,-
Nifty Auto,01-03-2017,9682.85,9702,9616.6,9670.6,15.95,.17,32975228,2063.61,33.79,6.21,.78
Nifty Bank,01-03-2017,20698.9,20833.75,20678.75,20783.75,176.5,.86,75542256,2221.57,29.5,2.67,.72
Nifty Energy,01-03-2017,11389.45,11402.05,11257.45,11277.35,-82.85,-.73,57162543,2277.93,12.71,1.82,1.48
Nifty Financial Services,01-03-2017,8317.35,8394.5,8312.75,8377.35,90.45,1.09,58372091,2427.8,23.66,3.17,.97
Nifty FMCG,01-03-2017,22378.35,22716.55,22366.7,22650.85,312.65,1.4,25234678,914.43,38.26,12.12,1.62
Nifty IT,01-03-2017,10674.85,10777.6,10658.4,10748.05,67.1,.63,9862993,777.17,16.99,4.71,1.96
Nifty Media,01-03-2017,3004.2,3009.85,2983.85,2995.1,-1.25,-.04,20031046,289.13,52.37,6.65,.62
