Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,24-11-2017,10366.8,10404.5,10362.25,10389.7,40.95,.4,133177324,8197.66,26.59,3.5,1.07
Nifty Next 50,24-11-2017,29868.45,29931.8,29785.9,29908.95,128.15,.43,127832843,3049.96,35.82,3.49,1.04
Nifty 100,24-11-2017,10781.1,10814.45,10773.75,10803.15,42.8,.4,261980369,11271.05,27.8,3.5,1.07
Nifty 200,24-11-2017,5674.7,5692.7,5670.95,5688.3,24.9,.44,624075509,16413.25,29.83,3.46,.99
Nifty 500,24-11-2017,9226.75,9254.5,9221,9246.05,38.65,.42,1035001531,22970.38,31.69,3.37,.93
Nifty Midcap 50,24-11-2017,5209.1,5231.75,5200.6,5226.65,28.25,.54,186295132,2493.9,102.85,2.58,.5
Nifty Free Float Midcap 100,24-11-2017,19931.9,19998.4,19897.65,19984.25,100.05,.5,340735483,5509.56,49.63,2.81,.93
Nifty Free Float Smallcap 100,24-11-2017,8650.35,8677.55,8634.1,8643.65,32.5,.38,208033705,2476.93,101.78,1.81,.53
Nifty50 Dividend Points,24-11-2017,-,-,-,97.82,0,-,-,-,-,-,-
Nifty Auto,24-11-2017,11362.95,11410.6,11360.35,11371.95,45.2,.4,36409303,1740.01,40.51,6.11,.54
Nifty Bank,24-11-2017,25776.6,25849,25749.1,25779.65,43.4,.17,70107830,2198.91,29.75,3,.18
Nifty Energy,24-11-2017,14366.95,14449.45,14355.45,14412.95,72.2,.5,36505433,1441.28,16.44,2.03,1.71
Nifty Financial Services,24-11-2017,10501.1,10518.55,10481.1,10505.85,20.85,.2,36862899,1924.31,30.47,3.57,.25
Nifty FMCG,24-11-2017,25835.35,26002,25760.1,25971.2,185.55,.72,17328960,1029.6,42.23,10.68,1.42
Nifty IT,24-11-2017,11240.4,11352.55,11235.75,11306.4,75.8,.67,23794202,1677.78,17.89,4.1,2.08
Nifty Media,24-11-2017,3239.05,3276.6,3223.25,3265.4,18.15,.56,72253584,609.39,40.85,6.33,.45
Nifty Metal,24-11-2017,3790.05,3790.15,3752.65,3765.9,-21.5,-.57,37455213,752.65,16.87,1.74,3.53
Nifty MNC,24-11-2017,13695.05,13724.7,13668.3,13692.3,7.5,.05,25235234,1109.32,26.6,5.43,1.69
Nifty Pharma,24-11-2017,9320.25,9371.05,9292.95,9364.3,71.1,.77,11046009,807.17,45.85,4.18,.41
Nifty PSU Bank,24-11-2017,4043.1,4056.6,3999.25,4007.3,-22.9,-.57,66722045,1247.23,101.93,1.32,.59
Nifty Realty,24-11-2017,318.1,318.6,316.2,317.8,.7,.22,54382585,753.38,59.1,1.43,.1
Nifty India Consumption,24-11-2017,4827.85,4850.5,4822,4843.25,28.2,.59,53867900,2575.16,57.77,5.72,.83
Nifty Commodities,24-11-2017,3987.6,3992.45,3973.9,3983.6,.8,.02,63782011,2397.69,18.2,2.1,2.73
Nifty Dividend Opportunities 50,24-11-2017,2566.75,2579.4,2564.8,2575.25,13.55,.53,121157354,4185.33,18.82,3.2,2.6
Nifty Infrastructure,24-11-2017,3518.55,3531.35,3516.6,3525.1,11.4,.32,173166815,1637.89,59.58,2.31,1.12
Nifty PSE,24-11-2017,4266.7,4283.25,4253.5,4276.4,15.15,.36,66451743,1252.8,14.55,1.98,3.77
Nifty Services Sector,24-11-2017,13634.75,13693,13622.2,13670.55,54.85,.4,109830459,4780.65,27.76,3.38,.74
Nifty50 Shariah,24-11-2017,-,-,-,2456.93,5.18,.21,24295868,1898.32,24.33,3.68,1.74
Nifty500 Shariah,24-11-2017,-,-,-,3061.42,12.64,.41,148904197,5932.66,29.84,4.46,1.12
Nifty Low Volatility 50,24-11-2017,-,-,-,9761.89,42.3,.44,83357378,5956.41,29.6,4,1.39
Nifty Alpha 50,24-11-2017,-,-,-,13423.34,30.08,.22,156980751,3901.03,38.25,3.4,.84
Nifty High Beta 50,24-11-2017,-,-,-,2238.82,16.99,.76,414400478,5102.51,,1.27,.59
Nifty50 USD,24-11-2017,-,-,-,5564.95,18.3,.33,-,-,-,-,-
Nifty100 Equal Weight,24-11-2017,-,-,-,14125.79,49.74,.35,261980369,11271.05,29.66,3.16,1.42
