Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,10-08-2021,16274.8,16359.25,16202.25,16280.1,21.85,.13,287989486,22600.38,26.35,4.24,1.13
Nifty Next 50,10-08-2021,39698.05,39750.45,39099.85,39420.4,-159.3,-.4,245838854,7131.72,28.98,4.81,1.15
Nifty 100,10-08-2021,16505,16578.65,16407.5,16493.85,10.4,.06,533828340,29732.1,26.82,4.32,1.13
Nifty 200,10-08-2021,8608.8,8641.15,8539.25,8586.95,-7.45,-.09,1444740256,44437.98,27.35,4.11,1.1
Nifty 500,10-08-2021,13957.6,13996.85,13809.45,13892.75,-42.3,-.3,1935174359,53300.35,27.76,4.1,1.06
Nifty Midcap 50,10-08-2021,7612.45,7619.6,7400.75,7458.4,-125.65,-1.66,847610552,9944.11,28.23,2.18,1.02
NIFTY Midcap 100,10-08-2021,27858.45,27909.55,27225.15,27439.25,-303.25,-1.09,910911916,14705.89,31.58,3.07,.87
NIFTY Smallcap 100,10-08-2021,10342.75,10366.5,9978.6,10097.25,-237.75,-2.3,221648594,4668.32,30.5,3.79,.74
Nifty50 Dividend Points,10-08-2021,-,-,-,103.96,0.0,-,-,-,-,-,-
Nifty Auto,10-08-2021,10247.1,10271.8,10095.1,10158.75,-80.25,-.78,40571232,2367.57,61.03,4.28,1.34
Nifty Bank,10-08-2021,35954.55,36317,35890.5,36034.1,5.15,.01,201187741,6083.06,23.61,2.95,.31
Nifty Energy,10-08-2021,19319.25,19370.05,19000.6,19135.75,-137.0,-.71,102583201,2789.87,9.98,1.77,3
Nifty Financial Services,10-08-2021,17200.35,17345.05,17185.5,17254.45,51.9,.3,90737769,8406.54,24.09,3.96,.5
Nifty FMCG,10-08-2021,36784.35,36790.4,36286.15,36537.25,-154.65,-.42,29453650,1918.39,40.67,9.32,2.26
Nifty IT,10-08-2021,31489.95,31812.75,31431.15,31713.35,272.35,.87,29858443,4344.13,32.72,9.71,1.57
Nifty Media,10-08-2021,1731.95,1747.35,1674.95,1692.75,-41.8,-2.41,49082657,701.6,-,2.33,.22
Nifty Metal,10-08-2021,5737,5756.7,5540.05,5573.3,-158.7,-2.77,180289969,4933.89,11.45,2.37,1.96
Nifty MNC,10-08-2021,18020.2,18043.3,17831.2,17942.95,-43.5,-.24,458292815,3048.15,143.69,6.56,1.87
Nifty Pharma,10-08-2021,14582.25,14622.15,14375,14502.9,-30.55,-.21,15099485,1794.66,31.57,5.43,.52
Nifty PSU Bank,10-08-2021,2411.05,2422.2,2327.1,2342.25,-62.65,-2.61,195243392,2117.53,10.74,.69,.37
Nifty Realty,10-08-2021,400.85,402.05,386.4,392.4,-8.1,-2.02,20764839,577.77,59.31,3.03,.12
Nifty India Consumption,10-08-2021,6521.25,6542.35,6474,6513.0,8.85,.14,98129865,7063.97,58.36,7.27,1.39
Nifty Commodities,10-08-2021,5370.9,5371.6,5249.9,5280.4,-78.6,-1.47,158613827,7044.33,12.82,2.46,1.98
