Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,30-12-2021,17201.45,17264.05,17146.35,17203.95,-9.65,-.06,320831676,21929.19,23.73,4.31,1.21
Nifty Next 50,30-12-2021,41849.8,41867.55,41507.5,41577.5,-320.6,-.77,272728300,5443.86,22.43,4.22,1.4
Nifty 100,30-12-2021,17465.25,17516.05,17413.2,17449.3,-29.5,-.17,593559976,27373.05,23.7,4.31,1.23
Nifty 200,30-12-2021,9135.95,9158.5,9109.3,9124.55,-17.9,-.2,1358759626,37088.98,24.22,4.19,1.2
Nifty 500,30-12-2021,14856.1,14894.65,14815,14842.05,-21.35,-.14,1794991791,46066.58,25.02,4.22,1.15
Nifty Midcap 50,30-12-2021,8300.05,8310.75,8268.05,8297.9,-9.35,-.11,596551957,5985.77,28.06,3.2,1.07
NIFTY Midcap 100,30-12-2021,30126.15,30144.65,29946.05,30023.25,-112.05,-.37,765199650,9715.93,28.31,3.54,1
NIFTY Smallcap 100,30-12-2021,11116.55,11170.8,11094.75,11131.7,26.75,.24,271715477,5458.46,31.24,4.02,.82
Nifty50 Dividend Points,30-12-2021,-,-,-,154.6,0.0,-,-,-,-,-,-
Nifty Auto,30-12-2021,10844.15,10850.55,10741.75,10755.65,-73.9,-.68,28079277,1977.05,59.7,4.47,1.14
Nifty Bank,30-12-2021,34977.65,35179.05,34751.25,35063.6,18.2,.05,328003519,7418.43,21.66,2.64,.36
Nifty Energy,30-12-2021,22698.45,22726.05,22406.85,22485.4,-259.95,-1.14,161921541,6007.21,10.64,2.05,4.38
Nifty Financial Services,30-12-2021,17113.85,17180.35,17021.1,17116.55,-13.45,-.08,72618370,5820.78,22.53,3.69,.54
Nifty FMCG,30-12-2021,37063.15,37159.35,36999.4,37075.65,46.95,.13,18419557,1267.52,39.44,9.29,2.09
Nifty IT,30-12-2021,38231.15,38897.6,38153.35,38658.8,384.15,1,27149202,4888.27,38.91,11.76,1.36
Nifty Media,30-12-2021,2205.2,2209.7,2185.25,2197.25,-2.55,-.12,26739533,690.4,2513.84,3.3,.55
Nifty Metal,30-12-2021,5480.3,5508.2,5407.45,5416.65,-63.9,-1.17,97695484,2354.51,6.51,2.22,3.52
Nifty MNC,30-12-2021,18981.35,19002.55,18907.15,18934.45,-32.2,-.17,417355086,2515.79,51.65,8.11,1.73
Nifty Pharma,30-12-2021,14075.4,14174.2,14036.6,14135.5,62.6,.44,27760644,2423.12,33.07,5.04,.61
Nifty PSU Bank,30-12-2021,2500.6,2504.4,2476.4,2490.2,-18.7,-.75,150880836,1939.27,9.8,.73,.33
Nifty Realty,30-12-2021,482.5,482.9,476.7,478.35,-4.7,-.97,12219628,499.22,60.6,3.89,.19
Nifty India Consumption,30-12-2021,6965.05,6971.2,6947.4,6956.3,-2.3,-.03,47112459,4311.97,47.5,8.07,1.19
Nifty Commodities,30-12-2021,5546.55,5565.7,5488.45,5500.6,-49.6,-.89,170631553,7483.34,9.38,2.37,3.14
Nifty Dividend Opportunities 50,30-12-2021,3687.6,3699.7,3680.25,3693.6,3.0,.08,276728229,9593.24,14.48,3.59,3.18
Nifty Infrastructure,30-12-2021,4929.8,4939.05,4897.05,4904.9,-28.4,-.58,196212007,8543.92,17.44,2.88,2.18
Nifty PSE,30-12-2021,3812.55,3828.55,3791.35,3817.75,1.55,.04,311038031,4402.46,5.89,1.35,7.84
Nifty Services Sector,30-12-2021,24147.3,24290.9,24056.95,24219.3,45.9,.19,247439642,14125.2,26.96,4.7,.89
Nifty50 Shariah,30-12-2021,-,-,-,4403.84,23.87,.54,68411356,5766.99,27.99,7.33,1.93
Nifty500 Shariah,30-12-2021,-,-,-,5456.64,14.8,.27,237238290,13823.15,29.6,6.93,1.49
Nifty Low Volatility 50,30-12-2021,-,-,-,15858.66,33.52,.21,189300008,10347.2,25.45,5.09,1.92
Nifty Alpha 50,30-12-2021,34119.7,34298.05,33986.4,34183.1,64.9,.19,143681904,8094.49,32.71,7.23,.53
Nifty High Beta 50,30-12-2021,-,-,-,2033.87,-11.19,-.55,874223898,14671.62,17.18,1.76,1.62
Nifty100 Equal Weight,30-12-2021,20319.2,20341.1,20244.95,20268.8,-64.25,-.32,593559976,27373.05,19.23,3.47,1.84
Nifty100 Liquid 15,30-12-2021,4318.5,4331.6,4300.25,4308.55,-12.95,-.3,163299559,10592.16,18.66,2.92,1.11
Nifty CPSE,30-12-2021,2241.55,2278.55,2234.35,2268.35,28.25,1.26,244633112,3145.65,6.71,1.44,6.55
Nifty50 Value 20,30-12-2021,9078.3,9148.35,9057.5,9123.6,36.55,.4,200517426,9268.29,20.11,4.7,2.15
Nifty Midcap Liquid 15,30-12-2021,7108.9,7117.8,7056.05,7101.45,-9.9,-.14,86468003,2296.49,21.58,3.04,1.08
Nifty Shariah 25,30-12-2021,-,-,-,6596.05,24.78,.38,55751847,5567.26,27.19,6.2,1.6
India VIX,30-12-2021,16.2425,16.7875,15.2925,16.57,0.32,1.99,-,-,-,-,-
Nifty Growth Sectors 15,30-12-2021,7607.7,7611,7579.2,7597.65,-0.35,0,24742166,2727.13,33.5,5.81,1.65
Nifty50 TR 1x Inverse,30-12-2021,221.2,221.85,220.4,221.15,0.15,.07,-,-,-,-,-
Nifty50 TR 2x Leverage,30-12-2021,11799.05,11884.9,11726.75,11802.45,-14.35,-.12,-,-,-,-,-
Nifty50 PR 1x Inverse,30-12-2021,257.8,258.6,256.85,257.75,0.15,.06,-,-,-,-,-
Nifty50 PR 2x Leverage,30-12-2021,8674.4,8737.55,8621.3,8676.95,-10.55,-.12,-,-,-,-,-
NIFTY100 Quality 30,30-12-2021,3916.5,3932.85,3908,3927.9,9.2,.23,80151510,8209.86,31.47,7.88,1.77
Nifty 50 Futures TR Index,30-12-2021,-,-,-,17995.88,1.56,.01,-,-,-,-,-
Nifty 50 Arbitrage,30-12-2021,-,-,-,2003.55,0.24,.01,-,-,-,-,-
NIFTY50 Equal Weight,30-12-2021,19168.65,19222.1,19122.55,19176.3,0.95,0,320831676,21929.19,18.28,3.73,2.18
Nifty100 Low Volatility 30,30-12-2021,13078.3,13141.65,13057.25,13125.75,43.2,.33,194713067,12554.55,22.63,4.97,2.35
Nifty Non-Cyclical Consumer,30-12-2021,-,-,-,10219.1,12.99,.13,43612122,3349.9,58.91,10.75,1.03
NIFTY Quality Low-Volatility 30,30-12-2021,-,-,-,12433.35,45.4,.37,75575106,7171.23,32.61,8.71,1.83
NIFTY Alpha Quality Low-Volatility 30,30-12-2021,-,-,-,14741.44,72.6,.49,50911954,7247.61,40.34,9.36,1.31
NIFTY Alpha Quality Value Low-Volatility 30,30-12-2021,-,-,-,10981.91,43.26,.4,76525574,6707.36,23.27,6.01,2.15
NIFTY200 Quality 30,30-12-2021,14995.35,15059.25,14966.95,15032.15,30.55,.2,64252259,6404.51,31.28,9.17,2
NIFTY Midcap150 Quality 50,30-12-2021,-,-,-,17607.36,39.8,.23,28642513,2732.16,31.56,8.02,1.17
Nifty200 Momentum 30,30-12-2021,20652.65,20709.35,20530.9,20557.65,-116.65,-.56,165524196,8524.04,15.69,3.67,1.44
Nifty India Manufacturing,30-12-2021,-,-,-,7838.6,-32.09,-.41,186097613,12403.07,18.52,3.86,1.66
Nifty Midcap Select,30-12-2021,-,-,-,7262.48,-14.56,-.2,146295185,2940,26.42,3.17,.96
NIFTY LargeMidcap 250,30-12-2021,9716.55,9733.95,9685.9,9704.05,-15.4,-.16,1419723271,38431.37,26.52,4.16,1.07
NIFTY SME EMERGE,30-12-2021,-,-,-,3775.45,21.53,.57,-,-,76.62,2.33,.25
Nifty Oil & Gas,30-12-2021,7349.1,7365.4,7252.1,7272.45,-99.15,-1.35,62794658,4280.57,8.72,1.94,5.16
